key,field_type,ae_count,cradle_count,aom_count,uses,sample
CauseUnhappiness,nested,3,5,5,13,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.1""}, {""t"": ""kv"", ""k"": ""Timer"", ""v"": ""1""}, {""t"": ""kv"", ""k"": ""Amount"", ""v"": ""5""}, {""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_CREATE_FRANCHISE""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_CREATE_FRANCHISE""}]"
Settle,sublist,5,7,11,13,Land
SettleCityType,kv,3,4,6,13,UNIT_CITY
CreateFranchise,nested,1,10,1,12,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.2""}, {""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_CREATE_FRANCHISE""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_CREATE_FRANCHISE""}]"
DefendAgainstSpies,kv,3,4,4,11,0.25
SettleSize,kv,3,3,5,11,1
InciteRevolution,nested,2,4,4,10,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.2""}, {""t"": ""kv"", ""k"": ""EliteChance"", ""v"": ""0.3""}, {""t"": ""kv"", ""k"": ""DeathChance"", ""v"": ""0.4""}, {""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_INCITE_REVOLUTION_SP""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_INCITE_REVOLUTION""}]"
IndulgenceSales,nested,2,4,4,10,"[{""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_CONVERT_CITIES_CL""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_CONVERT_CITIES""}]"
IsFoot,flag,10,0,0,10,
CanSoothsay,nested,2,3,4,9,"[{""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_CAN_SOOTHSAY_CL""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_CAN_SOOTHSAY""}]"
CityGrowthCoefficient,kv,3,3,3,9,0.5
EstablishEmbassy,flag,2,2,5,9,
HasPopAndCanBuild,flag,3,3,3,9,
NeedsNoSupport,flag,3,3,3,9,
NoIndex,flag,3,3,3,9,
Revolution,nested,3,3,3,9,"[{""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_REVOLUTION""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_REVOLUTION""}]"
ThrowParty,flag,2,2,5,9,
IsTrader,flag,2,3,3,8,
Plague,nested,1,6,1,8,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.2""}, {""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_BIO_TERROR""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_BIO_TERROR""}]"
StealTechnology,nested,2,3,3,8,"[{""t"": ""kv"", ""k"": ""RandomChance"", ""v"": ""0.35""}, {""t"": ""kv"", ""k"": ""SpecificChance"", ""v"": ""0.25""}, {""t"": ""kv"", ""k"": ""DeathChance"", ""v"": ""0.5""}, {""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_STEAL_TECHNOLOGY_SP""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_STEAL_TECHNOLOGY""}]"
PlantNuke,nested,2,3,2,7,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.25""}, {""t"": ""kv"", ""k"": ""EscapeChance"", ""v"": ""0.25""}, {""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_PLANT_NUKE_SP""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_PLANT_NUKE""}]"
SettleBuilding,kv,10,9,9,7,IMPROVE_ACADEMY
AssasinateRuler,nested,1,2,3,6,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.2""}, {""t"": ""kv"", ""k"": ""EliteChance"", ""v"": ""0.3""}, {""t"": ""kv"", ""k"": ""DeathChance"", ""v"": ""0.5""}]"
BioTerror,nested,1,4,1,6,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.2""}, {""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_BIO_TERROR""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_BIO_TERROR""}]"
SingleUse,flag,2,2,2,6,
AttackWoodenShipBonus,flag,1,2,2,5,
CanSue,flag,1,3,1,5,
IsSiege,flag,5,0,0,5,
WoodenShipBonus,kv,1,2,2,5,0.15
ActiveDefenseOnlyWhenCarryingEnablers,flag,1,1,2,4,
Advertise,flag,1,2,1,4,
CanInjoin,nested,1,2,1,4,"[{""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_INJUNCTION""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_INJUNCTIONS""}]"
Paratrooper,flag,1,1,2,4,
UndergroundRailway,nested,1,2,1,4,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.5""}, {""t"": ""kv"", ""k"": ""DeathChance"", ""v"": ""0.2""}, {""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_UNDERGROUND_RAILWAY""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_UNDERGROUND_RAILWAY""}]"
CreateParks,nested,1,1,1,3,"[{""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_CREATE_PARKS""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_CREATE_PARKS""}]"
IsMechanized,flag,3,0,0,3,
IsTelevangelist,flag,1,1,1,3,
IsWheeled,flag,3,0,0,3,
NanoTerror,nested,1,1,1,3,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.5""}, {""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_NANO_TERROR""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_NANO""}]"
NuclearAttack,nested,1,1,1,3,"[{""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_NUCLEAR_ATTACK""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_NUCLEAR_ATTACK""}]"
ParatrooperTransport,flag,1,1,1,3,
SettlerSlaveRaids,nested,1,1,1,3,"[{""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_SETTLER_SLAVE_RAIDS""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_SETTLER_SLAVE_RAIDS""}]"
SlaveRaids,nested,1,1,1,3,"[{""t"": ""kv"", ""k"": ""Chance"", ""v"": ""0.3""}, {""t"": ""kv"", ""k"": ""DeathChance"", ""v"": ""0.6""}, {""t"": ""kv"", ""k"": ""Timer"", ""v"": ""2""}, {""t"": ""kv"", ""k"": ""Amount"", ""v"": ""4""}, {""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_SLAVE_RAIDS""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_SLAVE_RAIDS""}]"
SlaveUprising,nested,1,1,1,3,"[{""t"": ""kv"", ""k"": ""Sound"", ""v"": ""SOUND_ID_SLAVE_UPRISING""}, {""t"": ""kv"", ""k"": ""Effect"", ""v"": ""SPECEFFECT_SLAVE_UPRISING""}]"
SpaceLaunch,kv,1,1,1,3,3
NoSlaves,flag,1,0,0,1,
