DESCRIPTION_UNIT_CARAVAN	"junkstring_DESCRIPTION_UNIT_CARAVAN"
DESCRIPTION_UNIT_WARSHIP	"junkstring_DESCRIPTION_UNIT_WARSHIP"
DESCRIPTION_UNIT_AIRSHIP	"junkstring_DESCRIPTION_UNIT_AIRSHIP"
DESCRIPTION_UNIT_MINOTAUR	"junkstring_DESCRIPTION_UNIT_MINOTAUR"
DESCRIPTION_UNIT_WAR_TROLL	"junkstring_DESCRIPTION_UNIT_WAR_TROLL"
DESCRIPTION_UNIT_GARGOYLE	"junkstring_DESCRIPTION_UNIT_GARGOYLE"
DESCRIPTION_UNIT_GUARDIAN_SPIRIT	"junkstring_DESCRIPTION_UNIT_GUARDIAN_SPIRIT"
DESCRIPTION_UNIT_COCKATRICE	"junkstring_DESCRIPTION_UNIT_COCKATRICE"
DESCRIPTION_UNIT_SALAMANDER	"junkstring_DESCRIPTION_UNIT_SALAMANDER"
DESCRIPTION_UNIT_INFERNAL_DEVICE	"junkstring_DESCRIPTION_UNIT_INFERNAL_DEVICE"
DESCRIPTION_UNIT_MINION	"junkstring_DESCRIPTION_UNIT_MINION"
DESCRIPTION_UNIT_DEMON	"junkstring_DESCRIPTION_UNIT_DEMON"
DESCRIPTION_UNIT_WAR_MAMMOTH	"junkstring_DESCRIPTION_UNIT_WAR_MAMMOTH"
DESCRIPTION_UNIT_AIR_ELEMENTAL	"junkstring_DESCRIPTION_UNIT_AIR_ELEMENTAL"
DESCRIPTION_UNIT_STORM_DRAKE	"junkstring_DESCRIPTION_UNIT_STORM_DRAKE"
DESCRIPTION_UNIT_WARRAX	"junkstring_DESCRIPTION_UNIT_WARRAX"
DESCRIPTION_UNIT_UNDEAD_DRAGON	"junkstring_DESCRIPTION_UNIT_UNDEAD_DRAGON"
DESCRIPTION_UNIT_GREAT_WYRM	"junkstring_DESCRIPTION_UNIT_GREAT_WYRM"
DESCRIPTION_UNIT_BEHEMOTH	"junkstring_DESCRIPTION_UNIT_BEHEMOTH"
DESCRIPTION_UNIT_MALLEUS	"junkstring_DESCRIPTION_UNIT_MALLEUS"
DESCRIPTION_UNIT_MERFOLK	"junkstring_DESCRIPTION_UNIT_MERFOLK"
DESCRIPTION_UNIT_ARCHANGEL	"junkstring_DESCRIPTION_UNIT_ARCHANGEL"
