=== H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\packlist.txt === 
The Masters of Magic Mod
MoM scenario pack
1

=== H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\SURROGATES.txt === 
mom surrogate register

Primary structured source: H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\tools\momjr_csv

Hidden surrogate-backed tile improvements retained only for compatibility:
- TILEIMP_ADVANCED_UNDERSEA_MINES: Stock deep-ocean production surrogate retained for compatibility only; hidden because MoMJR has no direct tile-improvement counterpart for this CTP2 lane.
- TILEIMP_AIR_BASES: Stock air-logistics tile improvement retained for compatibility only; hidden because MoMJR does not define an airbase tile-improvement lane.
- TILEIMP_AUTOMATED_FISHERIES: Stock ocean-food surrogate retained for compatibility only; hidden because MoMJR does not define this fisheries upgrade lane.
- TILEIMP_DRILLING_PLATFORM: Stock offshore-oil surrogate retained for compatibility only; hidden because MoMJR has no drilling-platform tile-improvement analogue.
- TILEIMP_FISHERIES: Stock fisheries surrogate retained for compatibility only; hidden because MoMJR does not define this tile-improvement lane.
- TILEIMP_LISTENING_POSTS: Stock detector tile improvement retained for compatibility only; hidden because MoMJR does not define this listening-post lane.
- TILEIMP_MAGLEV: Stock transport upgrade retained only as a hidden residue; MoMJR uses the remapped Enchanted Road lane instead.
- TILEIMP_MEGA_MINES: Stock late-industrial mining surrogate retained for compatibility only; hidden because MoMJR does not define this CTP2 mega-mine lane.
- TILEIMP_MEGA_UNDERSEA_MINES: Stock deep-ocean production surrogate retained for compatibility only; hidden because MoMJR has no mega undersea-mine tile-improvement analogue.
- TILEIMP_PORT: Stock ocean-port surrogate retained for compatibility only; hidden because MoMJR's Port is sourced from a city improvement rather than a tile-improvement lane.
- TILEIMP_RADAR_STATIONS: Stock detector tile improvement retained for compatibility only; hidden because MoMJR does not define this radar-station lane.
- TILEIMP_SONAR_BUOYS: Stock ocean-detector surrogate retained for compatibility only; hidden because MoMJR does not define this sonar-buoy lane.
- TILEIMP_UNDERSEA_MINES: Stock undersea-mine surrogate retained for compatibility only; hidden because MoMJR has no direct tile-improvement counterpart for this CTP2 lane.

Visible remaps:
- TILEIMP_RAILROAD: remapped to Enchanted Road and ADVANCE_GREATER_ENCHANTMENTS.

Dynamic logic donor references live under:
- H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\tools\slic_translation_artifacts

=== H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\temp_descriptions.txt === 
DESCRIPTION_UNIT_CARAVAN	"junkstring_DESCRIPTION_UNIT_CARAVAN"
DESCRIPTION_UNIT_ADVENTURERS	"junkstring_DESCRIPTION_UNIT_ADVENTURERS"
DESCRIPTION_UNIT_PEASANTS	"junkstring_DESCRIPTION_UNIT_PEASANTS"
DESCRIPTION_UNIT_ZOMBIES	"junkstring_DESCRIPTION_UNIT_ZOMBIES"
DESCRIPTION_UNIT_PHANTOM_WARRIORS	"junkstring_DESCRIPTION_UNIT_PHANTOM_WARRIORS"
DESCRIPTION_UNIT_HELL_HOUNDS	"junkstring_DESCRIPTION_UNIT_HELL_HOUNDS"
DESCRIPTION_UNIT_WARBEARS	"junkstring_DESCRIPTION_UNIT_WARBEARS"
DESCRIPTION_UNIT_WARLOCK	"junkstring_DESCRIPTION_UNIT_WARLOCK"
DESCRIPTION_UNIT_ARIEL	"junkstring_DESCRIPTION_UNIT_ARIEL"
DESCRIPTION_UNIT_JAFAR	"junkstring_DESCRIPTION_UNIT_JAFAR"
DESCRIPTION_UNIT_RJAK	"junkstring_DESCRIPTION_UNIT_RJAK"
DESCRIPTION_UNIT_TAURON	"junkstring_DESCRIPTION_UNIT_TAURON"
DESCRIPTION_UNIT_SERENA	"junkstring_DESCRIPTION_UNIT_SERENA"
DESCRIPTION_UNIT_FREYA	"junkstring_DESCRIPTION_UNIT_FREYA"
DESCRIPTION_UNIT_ALORRA	"junkstring_DESCRIPTION_UNIT_ALORRA"
DESCRIPTION_UNIT_ELVEN_ARCHERS	"junkstring_DESCRIPTION_UNIT_ELVEN_ARCHERS"
DESCRIPTION_UNIT_MAGE	"junkstring_DESCRIPTION_UNIT_MAGE"
DESCRIPTION_UNIT_WYVERN	"junkstring_DESCRIPTION_UNIT_WYVERN"
DESCRIPTION_UNIT_KNIGHTS	"junkstring_DESCRIPTION_UNIT_KNIGHTS"
DESCRIPTION_UNIT_UNICORN	"junkstring_DESCRIPTION_UNIT_UNICORN"
DESCRIPTION_UNIT_IRON_GOLEM	"junkstring_DESCRIPTION_UNIT_IRON_GOLEM"
DESCRIPTION_UNIT_STEAM_CANNON	"junkstring_DESCRIPTION_UNIT_STEAM_CANNON"
DESCRIPTION_UNIT_EFREET	"junkstring_DESCRIPTION_UNIT_EFREET"
DESCRIPTION_UNIT_WRAITH	"junkstring_DESCRIPTION_UNIT_WRAITH"
DESCRIPTION_UNIT_GRIFFIN	"junkstring_DESCRIPTION_UNIT_GRIFFIN"
DESCRIPTION_UNIT_PEGASUS	"junkstring_DESCRIPTION_UNIT_PEGASUS"
DESCRIPTION_UNIT_WARSHIP	"junkstring_DESCRIPTION_UNIT_WARSHIP"
DESCRIPTION_UNIT_AIRSHIP	"junkstring_DESCRIPTION_UNIT_AIRSHIP"
DESCRIPTION_UNIT_MINOTAUR	"junkstring_DESCRIPTION_UNIT_MINOTAUR"
DESCRIPTION_UNIT_WAR_TROLL	"junkstring_DESCRIPTION_UNIT_WAR_TROLL"
DESCRIPTION_UNIT_GARGOYLE	"junkstring_DESCRIPTION_UNIT_GARGOYLE"
DESCRIPTION_UNIT_GUARDIAN_SPIRIT	"junkstring_DESCRIPTION_UNIT_GUARDIAN_SPIRIT"
DESCRIPTION_UNIT_COCKATRICE	"junkstring_DESCRIPTION_UNIT_COCKATRICE"
DESCRIPTION_UNIT_SALAMANDER	"junkstring_DESCRIPTION_UNIT_SALAMANDER"
DESCRIPTION_UNIT_INFERNAL_DEVICE	"junkstring_DESCRIPTION_UNIT_INFERNAL_DEVICE"
DESCRIPTION_UNIT_MINION	"junkstring_DESCRIPTION_UNIT_MINION"
DESCRIPTION_UNIT_DEMON	"junkstring_DESCRIPTION_UNIT_DEMON"
DESCRIPTION_UNIT_WAR_MAMMOTH	"junkstring_DESCRIPTION_UNIT_WAR_MAMMOTH"
DESCRIPTION_UNIT_AIR_ELEMENTAL	"junkstring_DESCRIPTION_UNIT_AIR_ELEMENTAL"
DESCRIPTION_UNIT_STORM_DRAKE	"junkstring_DESCRIPTION_UNIT_STORM_DRAKE"
DESCRIPTION_UNIT_WARRAX	"junkstring_DESCRIPTION_UNIT_WARRAX"
DESCRIPTION_UNIT_UNDEAD_DRAGON	"junkstring_DESCRIPTION_UNIT_UNDEAD_DRAGON"
DESCRIPTION_UNIT_GREAT_WYRM	"junkstring_DESCRIPTION_UNIT_GREAT_WYRM"
DESCRIPTION_UNIT_BEHEMOTH	"junkstring_DESCRIPTION_UNIT_BEHEMOTH"
DESCRIPTION_UNIT_MALLEUS	"junkstring_DESCRIPTION_UNIT_MALLEUS"
DESCRIPTION_UNIT_MERFOLK	"junkstring_DESCRIPTION_UNIT_MERFOLK"
DESCRIPTION_UNIT_ARCHANGEL	"junkstring_DESCRIPTION_UNIT_ARCHANGEL"

=== H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\scen0000\scenario.txt === 
Masters of Magic for CTP2 AE
A mod that integrates Masters of Magic units, advances, and buildings into Call to Power 2.
Early testing and sprite proxy phase.

=== H:\Program Files(x86)\Activision\Call To Power 2\Scenarios\mom\scen0000\default\aidata\AdvanceLists.txt === 
#----------------------------------------------------------------------------
#
# MoM scenario override -- generator-owned.
# Keep AI research on visible MoM advances; do not inherit stock CTP2 lists.
# Preserve stock ordering where it still matches MoM, then append the rest
# of the visible imported tech tree so SetResearch never falls through to
# zero science because the scenario omitted AdvanceLists.txt.
#
#----------------------------------------------------------------------------

# 7

## 1 #########################################################
ADVANCE_LIST_DEFAULT {
  Advance ADVANCE_BRONZE_WORKING
  Advance ADVANCE_WRITING
  Advance ADVANCE_TRADE
  Advance ADVANCE_PHILOSOPHY
  Advance ADVANCE_MONARCHY
  Advance ADVANCE_MASONRY
  Advance ADVANCE_FEUDALISM
  Advance ADVANCE_ALCHEMY
  Advance ADVANCE_THEOLOGY
  Advance ADVANCE_IRON_WORKING
  Advance ADVANCE_BANKING
  Advance ADVANCE_ECONOMICS
  Advance ADVANCE_ALPHABET
  Advance ADVANCE_ANIMISM
  Advance ADVANCE_ASTROLOGY
  Advance ADVANCE_ELDRITCH_LORE
  Advance ADVANCE_USER_DEF_TECH_A
  Advance ADVANCE_BRIDGE_BUILDING
  Advance ADVANCE_CEREMONIAL_BURIAL
  Advance ADVANCE_GREATER_FAUNA_LORE
  Advance ADVANCE_CHIVALRY
  Advance ADVANCE_CODE_OF_LAWS
  Advance ADVANCE_HEALING
  Advance ADVANCE_LESSER_ENCHANMENTS
  Advance ADVANCE_METAMORPHOSIS
  Advance ADVANCE_CONSTRUCTION
  Advance ADVANCE_PANTHEISM
  Advance ADVANCE_CURRENCY
  Advance ADVANCE_RUNE_LORE
  Advance ADVANCE_USER_DEF_TECH_C
  Advance ADVANCE_SEA_MASTERY
  Advance ADVANCE_SHAMANISM
  Advance ADVANCE_THAUMATURGY
  Advance ADVANCE_TACTICS
  Advance ADVANCE_WIZARDRY
  Advance ADVANCE_GLYPHS
  Advance ADVANCE_LIFE_MAGIC
  Advance ADVANCE_USER_DEF_TECH_B
  Advance ADVANCE_CHAOS_MAGIC
  Advance ADVANCE_SORCERY
  Advance ADVANCE_LIFE_LORE
  Advance ADVANCE_LIFE_ADEPT
  Advance ADVANCE_LIFE_MAGE
  Advance ADVANCE_HOLY_WARRIORS
  Advance ADVANCE_LITERACY
  Advance ADVANCE_LIFE_WIZARD
  Advance ADVANCE_LIFE_MASTER
  Advance ADVANCE_MAP_MAKING
  Advance ADVANCE_CHAOS_LORE
  Advance ADVANCE_MATHEMATICS
  Advance ADVANCE_CHAOS_ADEPT
  Advance ADVANCE_CHAOS_MAGE
  Advance ADVANCE_CHAOS_WIZARD
  Advance ADVANCE_CHAOS_MASTER
  Advance ADVANCE_MYSTICISM
  Advance ADVANCE_NAVIGATION
  Advance ADVANCE_GRAND_MASTERY
  Advance ADVANCE_SORCERY_MAGE
  Advance ADVANCE_SORCERY_WIZARD
  Advance ADVANCE_SORCERY_MASTER
  Advance ADVANCE_NATURE_LORE
  Advance ADVANCE_NATURE_ADEPT
  Advance ADVANCE_POTTERY
  Advance ADVANCE_NATURE_MAGE
  Advance ADVANCE_GREATER_ENCHANTMENTS
  Advance ADVANCE_NATURE_WIZARD
  Advance ADVANCE_NATURE_MASTER
  Advance ADVANCE_DEATH_LORE
  Advance ADVANCE_THE_REPUBLIC
  Advance ADVANCE_DEATH_ADEPT
  Advance ADVANCE_SANITATION
  Advance ADVANCE_SEAFARING
  Advance ADVANCE_DEATH_MAGE
  Advance ADVANCE_DEATH_WIZARD
  Advance ADVANCE_DEATH_MASTER
  Advance ADVANCE_LEADERSHIP
  Advance ADVANCE_SORCEROUS_LORE
  Advance ADVANCE_UNIVERSITY
  Advance ADVANCE_WARRIOR_CODE
  Advance ADVANCE_FUTURE_TECHNOLOGY
  Advance ADVANCE_FORCES_OF_NATURE
  Advance ADVANCE_DEATH_MAGIC
  Advance ADVANCE_SEA_LORE
  Advance ADVANCE_NATURE_MAGIC
  Advance ADVANCE_SORCERY_ADEPT
  Advance ADVANCE_ARTIFICING
  Advance ADVANCE_LESSER_FAUNA_LORE
  Advance ADVANCE_PYROTECHNICS
  Advance ADVANCE_OCCULT_STUDIES
  Advance ADVANCE_ENGINEERING
  Advance ADVANCE_ASTRONOMY
  Advance ADVANCE_COMMUNE_WITH_GODS
  Advance ADVANCE_INVENTION
}

## 2 #########################################################
ADVANCE_LIST_DIPLOMATIC {
  Advance ADVANCE_BRONZE_WORKING
  Advance ADVANCE_WRITING
  Advance ADVANCE_TRADE
  Advance ADVANCE_PHILOSOPHY
  Advance ADVANCE_MONARCHY
  Advance ADVANCE_MASONRY
  Advance ADVANCE_FEUDALISM
  Advance ADVANCE_ALCHEMY
  Advance ADVANCE_THEOLOGY
  Advance ADVANCE_IRON_WORKING
  Advance ADVANCE_BANKING
  Advance ADVANCE_ECONOMICS
  Advance ADVANCE_ALPHABET
  Advance ADVANCE_ANIMISM
  Advance ADVANCE_ASTROLOGY
  Advance ADVANCE_ELDRITCH_LORE
  Advance ADVANCE_USER_DEF_TECH_A
  Advance ADVANCE_BRIDGE_BUILDING
  Advance ADVANCE_CEREMONIAL_BURIAL
  Advance ADVANCE_GREATER_FAUNA_LORE
  Advance ADVANCE_CHIVALRY
  Advance ADVANCE_CODE_OF_LAWS
  Advance ADVANCE_HEALING
  Advance ADVANCE_LESSER_ENCHANMENTS
  Advance ADVANCE_METAMORPHOSIS
  Advance ADVANCE_CONSTRUCTION
  Advance ADVANCE_PANTHEISM
  Advance ADVANCE_CURRENCY
  Advance ADVANCE_RUNE_LORE
  Advance ADVANCE_USER_DEF_TECH_C
  Advance ADVANCE_SEA_MASTERY
  Advance ADVANCE_SHAMANISM
  Advance ADVANCE_THAUMATURGY
  Advance ADVANCE_TACTICS
  Advance ADVANCE_WIZARDRY
  Advance ADVANCE_GLYPHS
  Advance ADVANCE_LIFE_MAGIC
  Advance ADVANCE_USER_DEF_TECH_B
  Advance ADVANCE_CHAOS_MAGIC
  Advance ADVANCE_SORCERY
  Advance ADVANCE_LIFE_LORE
  Advance ADVANCE_LIFE_ADEPT
  Advance ADVANCE_LIFE_MAGE
  Advance ADVANCE_HOLY_WARRIORS
  Advance ADVANCE_LITERACY
  Advance ADVANCE_LIFE_WIZARD
  Advance ADVANCE_LIFE_MASTER
  Advance ADVANCE_MAP_MAKING
  Advance ADVANCE_CHAOS_LORE
  Advance ADVANCE_MATHEMATICS
  Advance ADVANCE_CHAOS_ADEPT
  Advance ADVANCE_CHAOS_MAGE
  Advance ADVANCE_CHAOS_WIZARD
  Advance ADVANCE_CHAOS_MASTER
  Advance ADVANCE_MYSTICISM
  Advance ADVANCE_NAVIGATION
  Advance ADVANCE_GRAND_MASTERY
  Advance ADVANCE_SORCERY_MAGE
  Advance ADVANCE_SORCERY_WIZARD
  Advance ADVANCE_SORCERY_MASTER
  Advance ADVANCE_NATURE_LORE
  Advance ADVANCE_NATURE_ADEPT
  Advance ADVANCE_POTTERY
  Advance ADVANCE_NATURE_MAGE
  Advance ADVANCE_GREATER_ENCHANTMENTS
  Advance ADVANCE_NATURE_WIZARD
  Advance ADVANCE_NATURE_MASTER
  Advance ADVANCE_DEATH_LORE
  Advance ADVANCE_THE_REPUBLIC
  Advance ADVANCE_DEATH_ADEPT
  Advance ADVANCE_SANITATION
  Advance ADVANCE_SEAFARING
  Advance ADVANCE_DEATH_MAGE
  Advance ADVANCE_DEATH_WIZARD
  Advance ADVANCE_DEATH_MASTER
  Advance ADVANCE_LEADERSHIP
  Advance ADVANCE_SORCEROUS_LORE
  Advance ADVANCE_UNIVERSITY
  Advance ADVANCE_WARRIOR_CODE
  Advance ADVANCE_FUTURE_TECHNOLOGY
  Advance ADVANCE_FORCES_OF_NATURE
  Advance ADVANCE_DEATH_MAGIC
  Advance ADVANCE_SEA_LORE
  Advance ADVANCE_NATURE_MAGIC
  Advance ADVANCE_SORCERY_ADEPT
  Advance ADVANCE_ARTIFICING
  Advance ADVANCE_LESSER_FAUNA_LORE
  Advance ADVANCE_PYROTECHNICS
  Advance ADVANCE_OCCULT_STUDIES
  Advance ADVANCE_ENGINEERING
  Advance ADVANCE_ASTRONOMY
  Advance ADVANCE_COMMUNE_WITH_GODS
  Advance ADVANCE_INVENTION
}

## 3 #########################################################
ADVANCE_LIST_ECONOMIC {
  Advance ADVANCE_BRONZE_WORKING
  Advance ADVANCE_WRITING
  Advance ADVANCE_TRADE
  Advance ADVANCE_PHILOSOPHY
  Advance ADVANCE_MONARCHY
  Advance ADVANCE_MASONRY
  Advance ADVANCE_FEUDALISM
  Advance ADVANCE_ALCHEMY
  Advance ADVANCE_THEOLOGY
  Advance ADVANCE_IRON_WORKING
  Advance ADVANCE_BANKING
  Advance ADVANCE_ECONOMICS
  Advance ADVANCE_ALPHABET
  Advance ADVANCE_ANIMISM
  Advance ADVANCE_ASTROLOGY
  Advance ADVANCE_ELDRITCH_LORE
  Advance ADVANCE_USER_DEF_TECH_A
  Advance ADVANCE_BRIDGE_BUILDING
  Advance ADVANCE_CEREMONIAL_BURIAL
  Advance ADVANCE_GREATER_FAUNA_LORE
  Advance ADVANCE_CHIVALRY
  Advance ADVANCE_CODE_OF_LAWS
  Advance ADVANCE_HEALING
  Advance ADVANCE_LESSER_ENCHANMENTS
  Advance ADVANCE_METAMORPHOSIS
  Advance ADVANCE_CONSTRUCTION
  Advance ADVANCE_PANTHEISM
  Advance ADVANCE_CURRENCY
  Advance ADVANCE_RUNE_LORE
  Advance ADVANCE_USER_DEF_TECH_C
  Advance ADVANCE_SEA_MASTERY
  Advance ADVANCE_SHAMANISM
  Advance ADVANCE_THAUMATURGY
  Advance ADVANCE_TACTICS
  Advance ADVANCE_WIZARDRY
  Advance ADVANCE_GLYPHS
  Advance ADVANCE_LIFE_MAGIC
  Advance ADVANCE_USER_DEF_TECH_B
  Advance ADVANCE_CHAOS_MAGIC
  Advance ADVANCE_SORCERY
  Advance ADVANCE_LIFE_LORE
  Advance ADVANCE_LIFE_ADEPT
  Advance ADVANCE_LIFE_MAGE
  Advance ADVANCE_HOLY_WARRIORS
  Advance ADVANCE_LITERACY
  Advance ADVANCE_LIFE_WIZARD
  Advance ADVANCE_LIFE_MASTER
  Advance ADVANCE_MAP_MAKING
  Advance ADVANCE_CHAOS_LORE
  Advance ADVANCE_MATHEMATICS
  Advance ADVANCE_CHAOS_ADEPT
  Advance ADVANCE_CHAOS_MAGE
  Advance ADVANCE_CHAOS_WIZARD
  Advance ADVANCE_CHAOS_MASTER
  Advance ADVANCE_MYSTICISM
  Advance ADVANCE_NAVIGATION
  Advance ADVANCE_GRAND_MASTERY
  Advance ADVANCE_SORCERY_MAGE
  Advance ADVANCE_SORCERY_WIZARD
  Advance ADVANCE_SORCERY_MASTER
  Advance ADVANCE_NATURE_LORE
  Advance ADVANCE_NATURE_ADEPT
  Advance ADVANCE_POTTERY
  Advance ADVANCE_NATURE_MAGE
  Advance ADVANCE_GREATER_ENCHANTMENTS
  Advance ADVANCE_NATURE_WIZARD
  Advance ADVANCE_NATURE_MASTER
  Advance ADVANCE_DEATH_LORE
  Advance ADVANCE_THE_REPUBLIC
  Advance ADVANCE_DEATH_ADEPT
  Advance ADVANCE_SANITATION
  Advance ADVANCE_SEAFARING
  Advance ADVANCE_DEATH_MAGE
  Advance ADVANCE_DEATH_WIZARD
  Advance ADVANCE_DEATH_MASTER
  Advance ADVANCE_LEADERSHIP
  Advance ADVANCE_SORCEROUS_LORE
  Advance ADVANCE_UNIVERSITY
  Advance ADVANCE_WARRIOR_CODE
  Advance ADVANCE_FUTURE_TECHNOLOGY
  Advance ADVANCE_FORCES_OF_NATURE
  Advance ADVANCE_DEATH_MAGIC
  Advance ADVANCE_SEA_LORE
  Advance ADVANCE_NATURE_MAGIC
  Advance ADVANCE_SORCERY_ADEPT
  Advance ADVANCE_ARTIFICING
  Advance ADVANCE_LESSER_FAUNA_LORE
  Advance ADVANCE_PYROTECHNICS
  Advance ADVANCE_OCCULT_STUDIES
  Advance ADVANCE_ENGINEERING
  Advance ADVANCE_ASTRONOMY
  Advance ADVANCE_COMMUNE_WITH_GODS
  Advance ADVANCE_INVENTION
}

## 4 #########################################################
ADVANCE_LIST_ECOTOPIAN {
  Advance ADVANCE_BRONZE_WORKING
  Advance ADVANCE_WRITING
  Advance ADVANCE_TRADE
  Advance ADVANCE_PHILOSOPHY
  Advance ADVANCE_MONARCHY
  Advance ADVANCE_MASONRY
  Advance ADVANCE_FEUDALISM
  Advance ADVANCE_ALCHEMY
  Advance ADVANCE_THEOLOGY
  Advance ADVANCE_IRON_WORKING
  Advance ADVANCE_BANKING
  Advance ADVANCE_ECONOMICS
  Advance ADVANCE_ALPHABET
  Advance ADVANCE_ANIMISM
