ident,name,cost,upkeep,prerequisite,replaces,terrain_prereq,race_restriction,description
IMPROVE_BARBARIAN_SHAMANS,Barbarian Shamans,50,0,,,,,Barbarian Shamans Race Barbarians Req. Town Buildings Shrine Construction Cost 50 Upkeep Cost 1 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 2 Ranged Attack per figure 2 ( ) Defens
IMPROVE_BARBARIAN_SPEARMEN,Barbarian Spearmen,15,0,,,,most Races,Barbarian Spearmen Race Barbarians Req. Town Buildings None Construction Cost 15 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 5 Hit Po
IMPROVE_BARBARIAN_SWORDSMEN,Barbarian Swordsmen,30,0,,,,all Races,"Barbarian Swordsmen Race Barbarians Req. Town Buildings Barracks , Smithy Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Res"
IMPROVE_BARRACKS,Barracks,30,0,,,,if no other existing Town Buildings in the same town have the Barracks as a prerequisite,Barracks Races All Construction Cost 30 Upkeep Cost None Sells for 10 Building Progression Units Unlocked + Standard + Standard Racial + Standard Racial + Racial A Barracks is a type of Town Building 
IMPROVE_BEASTMEN_BOWMEN,Beastmen Bowmen,60,0,,,,in dyed loincloths,"Beastmen Bowmen Race Beastmen Req. Town Buildings Barracks , Sawmill Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 2 Ranged Attack per figure 1 De"
IMPROVE_BEASTMEN_ENGINEERS,Beastmen Engineers,60,0,,,,in dyed tunics,Beastmen Engineers Race Beastmen Req. Town Buildings Builders' Hall Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 2 Defense per figure 1 Resistanc
IMPROVE_BEASTMEN_HALBERDIERS,Beastmen Halberdiers,80,0,,,,in dyed loincloths,Beastmen Halberdiers Race Beastmen Req. Town Buildings Armory Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 5 Defense per figure 3 Resistance 5 Hi
IMPROVE_BEASTMEN_MAGICIANS,Beastmen Magicians,180,0,,,,,Beastmen Magicians Race Beastmen Req. Town Buildings Wizards' Guild Construction Cost 180 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 2 Ranged Attack per figure 5 ( 
IMPROVE_BEASTMEN_PRIESTS,Beastmen Priests,150,0,,,,,Beastmen Priests Race Beastmen Req. Town Buildings Parthenon Construction Cost 150 Upkeep Cost 3 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 4 Ranged Attack per figure 4 ( ) Defen
IMPROVE_BEASTMEN_SETTLERS,Beastmen Settlers,120,0,,,,real purpose is to create a new settlement for their Race,Beastmen Settlers Race Beastmen Req. Town Buildings None Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 1 Moves 1 Melee Attack per figure 1 Defense per figure 1 Resistance 5 Hit Po
IMPROVE_BEASTMEN_SPEARMEN,Beastmen Spearmen,20,0,,,,most Races,Beastmen Spearmen Race Beastmen Req. Town Buildings None Construction Cost 20 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 2 Defense per figure 2 Resistance 5 Hit Point
IMPROVE_BEASTMEN_SWORDSMEN,Beastmen Swordsmen,40,0,,,,all Races,"Beastmen Swordsmen Race Beastmen Req. Town Buildings Barracks , Smithy Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Defense per figure 2 Resist"
IMPROVE_BERSERKERS,Berserkers,120,0,,,,increase their damage output when making voluntary attacks,Berserkers Race Barbarians Req. Town Buildings Armorers' Guild Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 7 * Defense per figure 3 Resistance 
IMPROVE_BOWMEN,Bowmen,30,0,,,,,"Bowmen Req. Town Buildings Barracks , Sawmill Variants Barbarian Bowmen Gnoll Bowmen Halfling Bowmen High Men Bowmen Nomad Bowmen Orc Bowmen Beastmen Bowmen Draconian Bowmen Baseline Properties Constr"
IMPROVE_BUILDERS_HALL,Builders' Hall,60,0,,,,1 per turn for its maintenance,Builders' Hall Races All Construction Cost 60 Upkeep Cost 1 Sells for 20 Building Progression Units Unlocked Standard A Builders' Hall is a type of Town Building .
IMPROVE_CATAPULT,Catapult,100,0,,,,be constructed by High Elves,Catapult Race High Elves High Men Nomads Orcs Beastmen Dark Elves Req.
IMPROVE_CATHEDRAL,Cathedral,800,0,,,,be built by the Halflings,Cathedral Races Halflings High Men Nomads Orcs Beastmen Draconians Trolls Construction Cost 800 Upkeep Cost 4 Sells for 266 Standard Effects Reduces Unrest in this town by 1 and increases Power output
IMPROVE_CAVALRY,Cavalry,40,0,,,,,"Cavalry Req. Town Buildings Barracks , Stables Variants Barbarian Cavalry High Elf Cavalry High Men Cavalry Orc Cavalry Dark Elf Cavalry Baseline Properties Construction Cost 40 Upkeep Cost 1 1 # of f"
IMPROVE_CENTAURS,Centaurs,100,0,,,,be created at a Beastmen town,"Centaurs Race Beastmen Req. Town Buildings Barracks , Stables Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 3 Ranged Attack per figure 2 Defense "
IMPROVE_CITY_WALLS,City Walls,150,0,,,,entryway is through a small gate,City Walls Races All Construction Cost 150 Upkeep Cost 2 Sells for 25 Standard Effects Increases town's enemy detection range to 3 tiles and has many ramifications on siege combat at this town: It pro
IMPROVE_COAL,Coal,0,0,,,,,Coal is a fairly-rare type of Terrain Special - specifically one of the Minerals .
IMPROVE_DARK_ELF_CAVALRY,Dark Elf Cavalry,100,0,,,,,"Dark Elf Cavalry Race Dark Elves Req. Town Buildings Barracks , Stables Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Ranged Attack per figure "
IMPROVE_DARK_ELF_HALBERDIERS,Dark Elf Halberdiers,100,0,,,,,Dark Elf Halberdiers Race Dark Elves Req. Town Buildings Armory Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Ranged Attack per figure 1 ( ) De
IMPROVE_DARK_ELF_PRIESTS,Dark Elf Priests,200,0,,,,,Dark Elf Priests Race Dark Elves Req. Town Buildings Parthenon Construction Cost 200 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 3 Ranged Attack per figure 6 ( ) Def
IMPROVE_DARK_ELF_SETTLERS,Dark Elf Settlers,150,0,,,,real purpose is to create a new settlement for their Race,Dark Elf Settlers Race Dark Elves Req. Town Buildings None Construction Cost 150 Upkeep Cost 3 1 Unit Properties # of figures 1 Moves 1 Defense per figure 1 Resistance 7 Hit Points per figure 10 Unit 
IMPROVE_DARK_ELF_SPEARMEN,Dark Elf Spearmen,25,0,,,,most Races,Dark Elf Spearmen Race Dark Elves Req. Town Buildings None Construction Cost 25 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1 ( ) Defense pe
IMPROVE_DARK_ELF_SWORDSMEN,Dark Elf Swordsmen,50,0,,,,all Races,"Dark Elf Swordsmen Race Dark Elves Req. Town Buildings Barracks , Smithy Construction Cost 50 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Ranged Attack per figure "
IMPROVE_DOOM_DRAKES,Doom Drakes,160,0,,,,be built in Draconian towns,"Doom Drakes Race Draconians Req. Town Buildings Barracks , Stables Construction Cost 160 Upkeep Cost 4 1 Unit Properties # of figures 2 Moves 3 Melee Attack per figure 8 Defense per figure 3 Resistanc"
IMPROVE_DRACONIAN_BOWMEN,Draconian Bowmen,45,0,,,,,"Draconian Bowmen Race Draconians Req. Town Buildings Barracks , Sawmill Construction Cost 45 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 2 Melee Attack per figure 1 Ranged Attack per figure 1"
IMPROVE_DRACONIAN_ENGINEERS,Draconian Engineers,100,0,,,,in the early versions of Master of Magic – prior to the official 1,Draconian Engineers Race Draconians Req. Town Buildings Builders' Hall Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 2 Melee Attack per figure 1 Defense per figure 2 Resis
IMPROVE_DRACONIAN_HALBERDIERS,Draconian Halberdiers,100,0,,,,,Draconian Halberdiers Race Draconians Req. Town Buildings Armory Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 2 Melee Attack per figure 4 Defense per figure 4 Resistance 
IMPROVE_DRACONIAN_MAGICIANS,Draconian Magicians,180,0,,,,,Draconian Magicians Race Draconians Req. Town Buildings Wizards' Guild Construction Cost 180 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 1 Ranged Attack per figure 5
IMPROVE_DRACONIAN_SETTLERS,Draconian Settlers,150,0,,,,real purpose is to create a new settlement for their Race,Draconian Settlers Race Draconians Req. Town Buildings None Construction Cost 150 Upkeep Cost 3 1 Unit Properties # of figures 1 Moves 1 Defense per figure 2 Resistance 6 Hit Points per figure 10 Unit
IMPROVE_DRACONIAN_SHAMANS,Draconian Shamans,75,0,,,,,Draconian Shamans Race Draconians Req. Town Buildings Shrine Construction Cost 75 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 2 Ranged Attack per figure 2 ( ) Defens
IMPROVE_DRACONIAN_SPEARMEN,Draconian Spearmen,25,0,,,,most Races,Draconian Spearmen Race Draconians Req. Town Buildings None Construction Cost 25 Upkeep Cost 1 Unit Properties # of figures 8 Moves 2 Melee Attack per figure 1 Defense per figure 3 Resistance 6 Hit Po
IMPROVE_DRACONIAN_SWORDSMEN,Draconian Swordsmen,50,0,,,,all Races,"Draconian Swordsmen Race Draconians Req. Town Buildings Barracks , Smithy Construction Cost 50 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 2 Melee Attack per figure 3 Defense per figure 3 Res"
IMPROVE_DRAGON_TURTLE,Dragon Turtle,100,0,,,,has one figure per unit,"Dragon Turtle Race Lizardmen Req. Town Buildings Armorers' Guild , Stables Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 1 Moves 2 / 2 Melee Attack per figure 10 * Defense per fig"
IMPROVE_DWARF_ENGINEERS,Dwarf Engineers,40,0,,,,,Dwarf Engineers Race Dwarves Req. Town Buildings Builders' Hall Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Defense per figure 1 Resistance 8 
IMPROVE_DWARF_HALBERDIERS,Dwarf Halberdiers,100,0,,,,,Dwarf Halberdiers Race Dwarves Req. Town Buildings Armory Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Defense per figure 3 Resistance 8 Hit P
IMPROVE_DWARF_SETTLERS,Dwarf Settlers,150,0,,,,real purpose is to create a new settlement for their Race,Dwarf Settlers Race Dwarves Req. Town Buildings None Construction Cost 150 Upkeep Cost 3 1 Unit Properties # of figures 1 Moves 1 Defense per figure 1 Resistance 8 Hit Points per figure 30 Unit Abilit
IMPROVE_DWARF_SWORDSMEN,Dwarf Swordsmen,50,0,,,,all Races,"Dwarf Swordsmen Race Dwarves Req. Town Buildings Barracks , Smithy Construction Cost 50 Upkeep Cost 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resistance 8"
IMPROVE_ELVEN_LORDS,Elven Lords,160,0,,,,,Elven Lords Race High Elves Req. Town Buildings Armorers' Guild Construction Cost 160 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 5 * Defense per figure 4 Resistance
IMPROVE_ENGINEERS,Engineers,40,0,,,,,Engineers Req. Town Buildings Builders' Hall Variants High Men Engineers Klackon Engineers Orc Engineers Beastmen Engineers Draconian Engineers * Dwarf Engineers Baseline Properties Construction Cost 
IMPROVE_FALLEN_TEMPLE,Fallen Temple,0,0,,,,Wizards possessing any Death books),"A Fallen Temple is one of the seven most basic Encounter Zone types. These are among the easier Encounters (relatively speaking), where the sites themselves have no added functionality."
IMPROVE_FANTASTIC_STABLE,Fantastic Stable,600,0,,,,be constructed by four Races : High Elves,Fantastic Stable Races High Elves Nomads Orcs Dark Elves Construction Cost 600 Upkeep Cost 6 Sells for 200 Building Progression Units Unlocked Racial The Fantastic Stable is a type of Town Building .
IMPROVE_FARMERS_MARKET,Farmers' Market,100,0,,,,,"Farmers' Market Races All Construction Cost 100 Upkeep Cost 2 Sells for 33 Standard Effects Increases Food production by exactly +3 , Maximum Population by 3, and Population Growth effectively by +40 "
IMPROVE_FIGHTERS_GUILD,Fighters' Guild,200,0,,,,,Fighters' Guild Races All Construction Cost 200 Upkeep Cost 3 Sells for 66 Standard Effects All new Normal Units produced in this town start with 20 Experience points .
IMPROVE_FLYING_FORTRESS,Flying Fortress,0,0,,,,be cast on a friendly Town on the overland map,"Buggy Feature As of Master of Magic v1.31 , Flying Fortress is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
IMPROVE_FORESTERS_GUILD,Foresters' Guild,200,0,,,TERRAIN_FOREST,,"Foresters' Guild Races All except Lizardmen Construction Cost 200 Upkeep Cost 2 Sells for 66 Standard Effects Increases Food production by +1 or +2 , and increases the total Production of all the town"
IMPROVE_FORTRESS,Fortress,0,0,,,,a single Fortress,"The Fortress is a unique and certainly irregular Town Building . Each empire has only a single Fortress, normally located in the empire's starting Town . No additional Fortresses may be built."
IMPROVE_GALLEY,Galley,100,0,,,,,Galley Race Barbarians Gnolls High Elves High Men Nomads Orcs Dark Elves Draconians Req.
IMPROVE_GNOLL_BOWMEN,Gnoll Bowmen,30,0,,,,,"Gnoll Bowmen Race Gnolls Req. Town Buildings Barracks , Sawmill Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Ranged Attack per figure 1 Defense"
IMPROVE_GNOLL_HALBERDIERS,Gnoll Halberdiers,40,0,,,,five units in the game capable of negating the First Strike ability possessed by many mounted units,Gnoll Halberdiers Race Gnolls Req. Town Buildings Armory Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 6 Defense per figure 3 Resistance 4 Hit Poi
IMPROVE_GNOLL_SETTLERS,Gnoll Settlers,60,0,,,,real purpose is to create a new settlement for their Race,Gnoll Settlers Race Gnolls Req. Town Buildings None Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 1 Moves 1 Melee Attack per figure 2 Defense per figure 1 Resistance 4 Hit Points p
IMPROVE_GNOLL_SPEARMEN,Gnoll Spearmen,10,0,,,,most Races,Gnoll Spearmen Race Gnolls Req. Town Buildings None Construction Cost 10 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resistance 4 Hit Points per
IMPROVE_GNOLL_SWORDSMEN,Gnoll Swordsmen,20,0,,,,all Races,"Gnoll Swordsmen Race Gnolls Req. Town Buildings Barracks , Smithy Construction Cost 20 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 5 Defense per figure 2 Resistance "
IMPROVE_GOLEM,Golem,200,0,,,,be created at a Dwarf town,Golem Race Dwarves Req. Town Buildings Armorers' Guild Construction Cost 200 Upkeep Cost 4 1 Unit Properties # of figures 1 Moves 1 Melee Attack per figure 12 * Defense per figure 8 Resistance 15 * Hi
IMPROVE_GRANARY,Granary,40,0,,,,,"Granary Races All Construction Cost 40 Upkeep Cost 1 Sells for 13 Standard Effects Increases Food production by exactly +2 , Maximum Population by 2, and Population Growth effectively by +30."
IMPROVE_GRIFFINS,Griffins,200,0,,,,be built in Nomad towns,Griffins Race Nomads Req. Town Buildings Fantastic Stable Construction Cost 200 Upkeep Cost 4 1 Unit Properties # of figures 2 Moves 2 Melee Attack per figure 9 * Defense per figure 5 Resistance 7 * H
IMPROVE_HALBERDIERS,Halberdiers,40,0,,,,,Halberdiers Req. Town Buildings Armory Variants Gnoll Halberdiers High Elf Halberdiers Klackon Halberdiers Lizardmen Halberdiers Orc Halberdiers Beastmen Halberdiers Dark Elf Halberdiers Draconian Hal
IMPROVE_HALFLING_BOWMEN,Halfling Bowmen,45,0,,,,skipped as a result,"Halfling Bowmen Race Halflings Req. Town Buildings Barracks , Sawmill Construction Cost 45 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1 D"
IMPROVE_HALFLING_SETTLERS,Halfling Settlers,90,0,,,,real purpose is to create a new settlement for their Race,Halfling Settlers Race Halflings Req. Town Buildings None Construction Cost 90 Upkeep Cost 2 1 Unit Properties # of figures 1 Moves 1 Defense per figure 1 Resistance 6 Hit Points per figure 10 Unit Ab
IMPROVE_HALFLING_SHAMANS,Halfling Shamans,75,0,,,,Halflings seen to wear shoes (black boots,Halfling Shamans Race Halflings Req. Town Buildings Shrine Construction Cost 75 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 2 ( ) Defense 
IMPROVE_HALFLING_SPEARMEN,Halfling Spearmen,15,0,,,,most Races,Halfling Spearmen Race Halflings Req. Town Buildings None Construction Cost 15 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 6 Hit Poin
IMPROVE_HALFLING_SWORDSMEN,Halfling Swordsmen,30,0,,,,all Races,"Halfling Swordsmen Race Halflings Req. Town Buildings Barracks , Smithy Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 2 Defense per figure 2 Resis"
IMPROVE_HAMMERHANDS,Hammerhands,160,0,,,,be created at a Dwarf town,Hammerhands Race Dwarves Req. Town Buildings Fighters' Guild Construction Cost 160 Upkeep Cost 4 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 8 * Defense per figure 4 Resistance 9 
IMPROVE_HIGH_ELF_CAVALRY,High Elf Cavalry,60,0,,,,,"High Elf Cavalry Race High Elves Req. Town Buildings Barracks , Stables Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Defense per figure 2 Resis"
IMPROVE_HIGH_ELF_HALBERDIERS,High Elf Halberdiers,60,0,,,,,High Elf Halberdiers Race High Elves Req. Town Buildings Armory Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Defense per figure 3 Resistance 6 
IMPROVE_HIGH_ELF_MAGICIANS,High Elf Magicians,180,0,,,,,High Elf Magicians Race High Elves Req. Town Buildings Wizards' Guild Construction Cost 180 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 1 Ranged Attack per figure 5 
IMPROVE_HIGH_ELF_SETTLERS,High Elf Settlers,90,0,,,,real purpose is to create a new settlement for their Race,High Elf Settlers Race High Elves Req. Town Buildings None Construction Cost 90 Upkeep Cost 2 1 Unit Properties # of figures 1 Moves 1 Defense per figure 1 Resistance 6 Hit Points per figure 10 Unit A
IMPROVE_HIGH_ELF_SPEARMEN,High Elf Spearmen,15,0,,,,most Races,High Elf Spearmen Race High Elves Req. Town Buildings None Construction Cost 15 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 6 Hit Poi
IMPROVE_HIGH_ELF_SWORDSMEN,High Elf Swordsmen,30,0,,,,all Races,"High Elf Swordsmen Race High Elves Req. Town Buildings Barracks , Smithy Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resi"
IMPROVE_HIGH_MEN_BOWMEN,High Men Bowmen,30,0,,,,,"High Men Bowmen Race High Men Req. Town Buildings Barracks , Sawmill Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1 De"
IMPROVE_HIGH_MEN_CAVALRY,High Men Cavalry,40,0,,,,,"High Men Cavalry Race High Men Req. Town Buildings Barracks , Stables Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Defense per figure 2 Resista"
IMPROVE_HIGH_MEN_ENGINEERS,High Men Engineers,40,0,,,,,High Men Engineers Race High Men Req. Town Buildings Builders' Hall Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Defense per figure 1 Resistanc
IMPROVE_HIGH_MEN_MAGICIANS,High Men Magicians,120,0,,,,,High Men Magicians Race High Men Req. Town Buildings Wizards' Guild Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 5 ( 
IMPROVE_HIGH_MEN_PIKEMEN,High Men Pikemen,80,0,,,,available to two Races,High Men Pikemen Race High Men Req. Town Buildings Fighters' Guild Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 5 * Defense per figure 3 Resistan
IMPROVE_HIGH_MEN_PRIESTS,High Men Priests,100,0,,,,,High Men Priests Race High Men Req. Town Buildings Parthenon Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 3 Ranged Attack per figure 4 ( ) Defen
IMPROVE_HIGH_MEN_SETTLERS,High Men Settlers,60,0,,,,real purpose is to create a new settlement for their Race,High Men Settlers Race High Men Req. Town Buildings None Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 1 Moves 1 Defense per figure 1 Resistance 4 Hit Points per figure 10 Unit Abi
IMPROVE_HIGH_MEN_SPEARMEN,High Men Spearmen,10,0,,,,most Races,High Men Spearmen Race High Men Req. Town Buildings None Construction Cost 10 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 4 Hit Point
IMPROVE_HIGH_MEN_SWORDSMEN,High Men Swordsmen,20,0,,,,all Races,"High Men Swordsmen Race High Men Req. Town Buildings Barracks , Smithy Construction Cost 20 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resist"
IMPROVE_HORSEBOWMEN,Horsebowmen,60,0,,,,,"Horsebowmen Race Nomads Req. Town Buildings Barracks , Stables Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Ranged Attack per figure 2 Defense "
IMPROVE_JAVELINEERS,Javelineers,80,0,,,,,Javelineers Race Lizardmen Req. Town Buildings Fighters' Guild Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 / 1 Melee Attack per figure 4 * Ranged Attack per figure 3 * 
IMPROVE_KLACKON_ENGINEERS,Klackon Engineers,80,0,,,,,Klackon Engineers Race Klackons Req. Town Buildings Builders' Hall Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Defense per figure 1 Resistance
IMPROVE_KLACKON_HALBERDIERS,Klackon Halberdiers,80,0,,,,,Klackon Halberdiers Race Klackons Req. Town Buildings Armory Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Defense per figure 5 Resistance 5 Hit
IMPROVE_KLACKON_SETTLERS,Klackon Settlers,120,0,,,,real purpose is to create a new settlement for their Race,Klackon Settlers Race Klackons Req. Town Buildings None Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 1 Moves 1 Defense per figure 1 Resistance 5 Hit Points per figure 10 Unit Abi
IMPROVE_KLACKON_SPEARMEN,Klackon Spearmen,20,0,,,,most Races,Klackon Spearmen Race Klackons Req. Town Buildings None Construction Cost 20 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 4 Resistance 5 Hit Points
IMPROVE_KLACKON_SWORDSMEN,Klackon Swordsmen,40,0,,,,all Races,"Klackon Swordsmen Race Klackons Req. Town Buildings Barracks , Smithy Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 4 Resista"
IMPROVE_LIBRARY,Library,60,0,,,,,Library Races All Construction Cost 60 Upkeep Cost 1 Sells for 20 Standard Effects Increases a town's Research Points output by +2 . Building Progression The Library is a type of Town Building .
IMPROVE_LIZARDMEN_HALBERDIERS,Lizardmen Halberdiers,40,0,,,,five units in the game capable of negating the First Strike ability possessed by many mounted units,Lizardmen Halberdiers Race Lizardmen Req. Town Buildings Armory Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 / 1 Melee Attack per figure 4 Defense per figure 4 Resistanc
IMPROVE_LIZARDMEN_SETTLERS,Lizardmen Settlers,120,0,,,,real purpose is to create a new settlement for their Race,Lizardmen Settlers Race Lizardmen Req. Town Buildings None Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 1 Moves 1 / 1 Defense per figure 2 Resistance 4 Hit Points per figure 20 U
