element,gameplay,historical
ADVANCE_NATURE_MAGE,,"A nature mage does not defeat the land; they recruit it. Every tradition that worked this way treated weather, beasts and growing things as allies to be bargained with rather than obstacles to be overcome."
ADVANCE_NATURE_MAGIC,,"Power borrowed from living systems, on the strict understanding that it is a loan."
ADVANCE_NATURE_MASTER,,"Mastery here looks like nothing happening: the storm that did not come, the famine that did not arrive."
ADVANCE_NATURE_WIZARD,,"The nature wizard is answerable to the land, and the arrangement is genuinely mutual."
ADVANCE_NAVIGATION,,"Finding a destination out of sight of land. The technique is unremarkable; the nerve it required was not."
ADVANCE_OCCULT_STUDIES,,"Formal, sceptical investigation of the hidden, undertaken by scholars who mostly wished the results had come back negative."
ADVANCE_PANTHEISM,,"The doctrine that divinity is distributed rather than located. Convenient for empires with many conquered gods to absorb."
ADVANCE_POTTERY,,"A fired clay jar is a solved problem in storage, and storage is what lets a people survive a bad year."
ADVANCE_PYROTECHNICS,,"The applied science of controlled fire, developed by people who mostly wanted a better festival and accidentally armed everyone."
ADVANCE_RUNE_LORE,,"Runes bind meaning into shape. Carved into a weapon or a wall, they hold their instruction indefinitely and without supervision."
ADVANCE_SANITATION,,"Moving waste away from drinking water has saved more lives than every physician in history combined."
ADVANCE_SEAFARING,,"The decision to treat the sea as a road rather than as an edge."
ADVANCE_SEA_LORE,,"What sailors know that charts do not record: currents, tempers, and which waters have something living under them."
ADVANCE_SEA_MASTERY,,"Command of the deep water, which historically has meant command of everything the deep water touches."
ADVANCE_SHAMANISM,,"The first professional intermediaries between a people and whatever they believed was listening."
ADVANCE_SORCEROUS_LORE,,"The theoretical backbone of sorcery, written down by practitioners who wanted successors rather than rivals."
ADVANCE_SORCERY,,"The disciplined manipulation of force at a distance. Less spectacular than chaos, and considerably more reliable."
ADVANCE_SORCERY_ADEPT,,"The adept's year is spent on precision, because sorcery punishes approximation immediately."
ADVANCE_SORCERY_MAGE,,"A sorcery mage does openly and instantly what an engineer would need a season and a workforce to accomplish."
ADVANCE_SORCERY_MASTER,,"Mastery of sorcery is measured in restraint, since by this grade the capability is no longer in question."
ADVANCE_SORCERY_WIZARD,,"The sorcery wizard treats the laws of the world as defaults rather than as limits."
ADVANCE_TACTICS,,"The realisation that where soldiers stand matters more than how many of them there are."
ADVANCE_THAUMATURGY,,"The formal study of wonder-working: taking the miracle apart to see whether it can be repeated on demand."
ADVANCE_THE_REPUBLIC,,"The proposition that authority can be lent out and taken back. Radical, fragile, and repeatedly rediscovered."
ADVANCE_UNIVERSITY,,"An institution built on the assumption that knowledge should outlive the knowledgeable."
ADVANCE_WARRIOR_CODE,,"The rules fighting men impose on themselves, which are what distinguish an army from a mob with weapons."
ADVANCE_WIZARDRY,,"The systematisation of magic into something that can be taught, examined and graded: the moment power became a profession."
IMPROVE_AQUEDUCT,,"Cities die of thirst long before they die of siege. The aqueduct is the unglamorous engineering that lets a town become a city at all."
IMPROVE_BARRACKS,,"Housing soldiers together turns them from armed men into a unit. Barracks are where drill, discipline and the habit of obedience are manufactured."
IMPROVE_BEACON_OF_WISDOM,,"A tower kept lit by scholars rather than sailors, signalling that this city will pay for knowledge and protect those who bring it."
IMPROVE_CATHEDRAL,,"Built to be larger than any need it served, on the correct assumption that awe is a form of civic order."
IMPROVE_CITY_WALLS,,"The oldest declaration a settlement can make: that it intends to still be here next year."
IMPROVE_COASTAL_FORTRESS,,"Guns and wards facing the water, built by every port that has been raided exactly once."
IMPROVE_COLOSSEUM,,"A crowd that is entertained is a crowd that is not rioting. Rulers understood this long before they admitted it."
IMPROVE_COURTHOUSE,,"Where a grievance goes instead of a feud. The courthouse is how a distant capital is felt in a provincial street."
IMPROVE_FANTASTIC_STABLE,,"Stalls built to hold things that resent being held. The stablemasters here are paid hazard rates and earn them."
IMPROVE_GRANARY,,"Storing the good harvest against the bad one is the single decision that separates a people who persist from a people who scatter."
IMPROVE_HARBOR,,"A sheltered place to unload. Everything a coastal city becomes, it becomes because of this."
IMPROVE_LIBRARY,,"A room where the dead are still arguing. Cities that keep one compound their advantages; cities that burn one start over."
IMPROVE_MECHANICIANS_GUILD,,"An organised body of engineers who guard their methods jealously and sell their results dearly."
IMPROVE_MERCHANTS_GUILD,,"Traders who discovered that acting together beats competing, and who quietly became a second government in many cities."
IMPROVE_PORT,,"More than a harbour: warehousing, customs, and the machinery of turning a shoreline into an economy."
IMPROVE_PRIMAL_SOURCE,,"A place where the raw stuff of magic surfaces of its own accord. Cities are not built near these by accident."
IMPROVE_TEMPLE,,"The first public building any people erect, and usually the last one they will consent to see torn down."
IMPROVE_UNIVERSITY,,"Teaching and disputation under one roof, chartered so that neither crown nor church can quite shut it."
IMPROVE_WIZARDS_FORTRESS,,"Part citadel, part laboratory. Its walls are built to keep things in as much as to keep armies out."
IMPROVE_XHYDRO_PLANT,,"Falling water put to work at scale, trading a valley for a supply of power that never has to be mined."
IMPROVE_XPOWER_PLANT,,"Concentrated industrial power, bought at a cost the surrounding air and water pay on the city's behalf."
WONDER_BARDIC_COLLEGE,,"Where the songs are written that decide how a war will be remembered. Rulers who ignored the bards were forgotten by them."
WONDER_CELESTIAL_BEACON,,"A light raised to be seen from outside the world, on the theory that something out there is watching and can be signalled."
WONDER_ELDRITCH_COLLEGE,,"A school built over a site nobody sane would choose, precisely because what leaks out of it is worth studying."
WONDER_ELIXIR_OF_METAMORPHOSIS,,"The perfected draught that changes the drinker into whatever the maker intended. The making took generations; the drinking takes a moment."
WONDER_ENCHANTED_GROTTO,,"A cave the land itself has enchanted, tended rather than built. Its keepers claim, plausibly, that it predates them."
WONDER_ENTROPY_ENGINE,,"A machine that runs on things falling apart, which is the one fuel supply that can never be exhausted."
WONDER_FONT_OF_BOUNTY,,"A spring that will not run dry and a field that will not fail. Every famine legend in the world is a story about looking for this."
WONDER_FORGE_OF_CHAOS,,"A smithy where the metal argues back. What comes out is never quite what was ordered and is often better."
WONDER_GAIAS_SHRINE,,"The formal recognition that the land is a party to the bargain, and the place where that bargain is renewed."
WONDER_GNOME_TREASURY,,"Vaults dug by people who consider accounting a sacred discipline and interest a form of poetry."
WONDER_GREAT_LIBRARY,,"The attempt to gather everything anyone knows into one building. Every civilisation tries it once, and its loss is always the age's defining wound."
WONDER_GUILD_OF_LEGENDS,,"Where heroes are registered, outfitted and, when necessary, invented. The paperwork is more of the legend than anyone admits."
WONDER_GUNTHARS_VOYAGE,,"One expedition that went further than was reasonable and came back with a map that redrew everyone's world."
WONDER_LEAGUE_OF_WIZARDS,,"An agreement among people who did not want to be governed, to be governed slightly, mostly regarding each other."
WONDER_MESMERS_TOWER,,"A tower devoted to the study of influence: what a mind will accept if it is approached in the right order."
WONDER_MYSTIC_XS_TOWER,,"Raised by an adept who left no name, only instructions. The instructions are still being followed."
WONDER_ORACLE,,"An institution built on ambiguous answers, which survived because ambiguous answers are never wrong."
WONDER_PLEASURE_DOME,,"A monument to the argument that a contented population is cheaper to rule than a frightened one."
WONDER_PROSPEROS_CONSERVATORY,,"A garden, a library and a workshop kept by one scholar in exile, who proved that isolation and mastery are related."
WONDER_REYWINDS_DISCOVERY,,"A single finding that reorganised an entire discipline, and made its discoverer permanently unwelcome in it."
WONDER_RUNE_OF_RULERSHIP,,"A single carved mark that makes obedience feel like agreement. Its existence is the strongest argument ever made against runes."
WONDER_THE_PARTHENON,,"Proportion made permanent. Built as a temple, remembered as a definition of how a building should be."
WONDER_WALL_OF_BONE,,"A rampart raised from the fallen, which defends a city and also reminds it, daily, of what defence has cost."
WONDER_XAPOLLO_PROGRAM,,"The organised decision to leave the world entirely, undertaken for reasons that were half curiosity and half rivalry."
WONDER_XCURE_FOR_CANCER,,"The end of one of the oldest quiet arithmetics of human life, achieved not by a genius but by an institution that refused to stop."
WONDER_XLIGHTHOUSE,,"A fire kept burning so that strangers can find the harbour. One of the few monuments built entirely for other people's benefit."
WONDER_XSTATUE_OF_LIBERTY,,"A figure raised at a harbour mouth to state a proposition, addressed to arrivals rather than to residents."
WONDER_XWOMENS_SUFFRAGE,,"The extension of the vote to half the population, resisted for a century on grounds nobody can now restate without embarrassment."
TILEIMP_ADVANCED_FARMS,,"Rotation, drainage and selected seed. Nothing about it looks impressive, and it doubles what a valley can feed."
TILEIMP_ADVANCED_MINES,,"Deep shafts, pumps and timbering: the difference between scraping a hillside and genuinely working it."
TILEIMP_FARMS,,"Deliberate planting in worked ground. The first improvement any people ever make to the land, and the one everything else waits on."
TILEIMP_FORTIFICATIONS,,"Earth and stone arranged so that attacking costs more than defending. The whole of siege history is an argument with this."
TILEIMP_MINES,,"Taking metal and stone out of the ground on purpose. Hard, short-lived work that every army in history has depended on."
TILEIMP_NATURE_PRESERVE,,"Ground formally set aside from use. A late idea, and one that only occurs to peoples who have already used up somewhere else."
TILEIMP_NETS,,"Fixed fishing works in shallow water: a harvest that arrives without being planted."
TILEIMP_RAILROAD,,"Iron road and a machine that never tires. It collapsed distance more sharply than any invention before it."
TILEIMP_ROAD,,"A prepared surface between two places. Trade, tax collection and armies all move at the speed of the worst road on the route."
TILEIMP_RUINS,,"What is left where someone else tried this. Ruins are a warning and, to the right visitor, an inheritance."
TILEIMP_TERRAFORM_BROWN_HILL,,"Reshaping ground into arid upland, undertaken where the alternative was worse."
TILEIMP_TERRAFORM_BROWN_MOUNTAIN,,"Raising barren peaks by will rather than by geology, an act of engineering that reads as an act of vandalism."
TILEIMP_TERRAFORM_DESERT,,"Deliberately drying a region. Almost always done to deny it to someone else."
TILEIMP_TERRAFORM_FOREST,,"Planting a forest where there was none and waiting, or refusing to wait and compelling it."
TILEIMP_TERRAFORM_GRASSLAND,,"Turning difficult ground into pasture and field, the single most common ambition of every settled people."
TILEIMP_TERRAFORM_HILL,,"Raising ground for the sake of the defensive advantage and the drainage that come with it."
TILEIMP_TERRAFORM_JUNGLE,,"Encouraging dense growth, usually as a barrier, occasionally out of conviction."
TILEIMP_TERRAFORM_MOUNTAIN,,"Making mountains. The most expensive way ever devised to build a wall."
TILEIMP_TERRAFORM_PLAINS,,"Flattening and clearing into open country: easy to farm, easy to cross, easy to invade."
TILEIMP_TERRAFORM_SWAMP,,"Deliberate flooding. Miserable to hold, and historically very effective at stopping cavalry."
TILEIMP_TERRAFORM_WHITE_HILL,,"Raising frozen upland, generally at the edges of a realm that has run out of better land."
TILEIMP_TERRAFORM_WHITE_MOUNTAIN,,"Ice-locked peaks made to order, the harshest terrain anyone has bothered to manufacture."
TILEIMP_TRADING_POST,,"A shed, a scale and an agreed price, at the point where two peoples find it easier to deal than to raid."
GOVERNMENT_COMMUNISM,,"The claim that the means of production should be held in common, and the long argument about who holds them on everyone's behalf."
GOVERNMENT_CORPORATE_REPUBLIC,,"A state whose sovereignty is exercised through chartered companies, in which citizenship and shareholding become difficult to distinguish."
GOVERNMENT_DEMOCRACY,,"Rule by the governed, accepted slowly and everywhere on the grounds that every alternative had been tried first."
GOVERNMENT_ECOTOPIA,,"A polity that treats the land as a constituency with standing, and accepts a lower ceiling in exchange for a longer horizon."
GOVERNMENT_FASCISM,,"The subordination of everything to the state, sold as unity and delivered as obedience."
GOVERNMENT_MONARCHY,,"One family, one claim, and an inheritance treated as a constitution. Stable while the heirs are competent."
GOVERNMENT_TECHNOCRACY,,"Rule by those who can demonstrate expertise, which works until the question at hand is not a technical one."
GOVERNMENT_VIRTUAL_DEMOCRACY,,"Continuous consent, gathered instantly and constantly. It removes the delay between opinion and policy, along with the reflection that lived in it."
CONCEPT_ANCIENT_AGE,"The opening age. Research is cheap and slow, cities are small, and almost every advance you take opens two more. Expansion now compounds for the rest of the game.",
CONCEPT_CLASSIC_AGE,"The second age. Writing, law and organised warfare arrive together; cities begin to support specialists, and the first wonders become buildable.",
CONCEPT_MEDIEVAL_AGE,"The age of walls, guilds and cavalry. Defensive improvements outpace attack, so wars become sieges and economies become the deciding factor.",
CONCEPT_RENAISSANCE_AGE,"Science accelerates sharply and the map opens up. Advances arrive faster than governments adapt to them, which is what makes this age volatile.",
CONCEPT_INDUSTRIAL_AGE,"Production dominates. Output per city climbs steeply, and pollution and unhappiness become live constraints rather than background noise.",
CONCEPT_COMPUTER_AGE,"Information becomes the limiting resource. Science and commerce multipliers matter more than raw production, and stealth and espionage units come into their own.",
CONCEPT_DIAMOND_AGE,"Late-game engineering. Terraforming, extreme improvements and the most expensive wonders in the game all become reachable here.",
CONCEPT_FUTURE_AGE,"The final age. The advance tree is effectively exhausted and further research yields incremental Future Technology rather than new capabilities.",
CONCEPT_ACTIVE_DEFENSE,,"The idea that a defender should not merely absorb an attack but answer it. Fortifications that shoot back are older than fortifications that do not."
CONCEPT_ADVANCES,,"Knowledge accumulates in one direction only. What one generation discovers, the next assumes, which is why progress feels slow while it is happening and inevitable afterwards."
CONCEPT_ALLIANCE,,"Two powers agreeing that a third is the more urgent problem. Most alliances outlive their reason for existing by exactly one war."
CONCEPT_ATROCITY,,"Acts that even warring peoples agree lie outside war. The category exists because it has repeatedly needed to be named."
CONCEPT_BARBARIANS,,"The word every settled people uses for the peoples outside their walls. It says more about the speaker than the subject."
CONCEPT_CAPITALIZATION,,"The decision to stop building things and simply take the money instead. A mature economy's admission that gold is more flexible than stone."
CONCEPT_CITY,,"A settlement large enough that most of its inhabitants do not grow their own food. Every consequence of civilisation follows from that one fact."
CONCEPT_COMMERCE,,"Exchange between strangers, conducted on trust in a system rather than trust in a person. The whole of urban wealth rests on it."
CONCEPT_CRIME,,"What happens in the gap between what a state forbids and what it can observe. The gap widens with distance from the capital."
CONCEPT_DEFENSE,,"The older and cheaper half of warfare. It is generally underfunded in peace and frantically overfunded the season after a raid."
CONCEPT_DIPLOMACY,,"The practice of getting what an army would take, without the army. Cheaper, slower, and reversible."
CONCEPT_DISBAND_CITY,,"Unmaking a settlement deliberately. Rare, drastic, and almost always a decision about a frontier that could not be held."
CONCEPT_EMBARGO,,"War conducted through the ledger. It hurts slowly, indiscriminately, and often the wrong people."
CONCEPT_EMPIRE_SIZE,,"Every realm has a distance beyond which orders arrive late and taxes arrive short. Empires do not usually fall; they exceed this radius."
CONCEPT_FOOD,,"The first constraint and the last one. No policy, army or wonder survives a people that is not eating."
CONCEPT_GOLD,,"Stored, portable agreement. Its usefulness is that it can become almost anything else on short notice."
CONCEPT_GOODS,,"Things worth carrying a long way, which is a much shorter list than things worth having."
CONCEPT_GOVERNMENTS,,"The arrangement a people accepts for deciding who may compel whom. Every form is a different trade between order and consent."
CONCEPT_GROWTH,,"Populations expand to whatever their food, water and patience allow. Managing that ceiling is most of what governing a city is."
CONCEPT_HAPPINESS,,"The measure of whether a population consents to be governed. It is cheap to maintain and enormously expensive to restore."
CONCEPT_IMPROVEMENTS,,"Permanent works inside a city that change what it is capable of. Their cost is paid once and their upkeep forever."
CONCEPT_INFRASTRUCTURE,,"The works nobody notices until they fail: roads, drains, aqueducts, walls. Civilisation is largely maintenance."
CONCEPT_MAINTENANCE_COST,,"Everything built must be kept. The standing cost of past decisions is what constrains present ones."
CONCEPT_MILITARY_READINESS,,"How much of a realm's substance is committed to the possibility of war. Too little invites it; too much causes it."
CONCEPT_OFFER,,"A proposal made in the expectation of refusal, so that the refusal can be pointed to later."
CONCEPT_OVERCROWDING,,"Past a certain density, adding people subtracts from everyone. Cities discover this threshold by crossing it."
CONCEPT_POLLUTION,,"The cost of production that is paid by whoever lives downstream, which is why it took so long to be counted at all."
CONCEPT_POPULATION,,"The one resource that produces every other one, and the only one with an opinion about how it is used."
CONCEPT_PRODUCTION,,"Labour turned into things. The rate at which a realm can convert intent into fact."
CONCEPT_PUBLIC_WORKS,,"Effort spent on the land rather than in the city: roads, farms, mines. Slow to pay back and impossible to do without."
CONCEPT_RATIONS,,"Deciding how much a population eats is the bluntest instrument a government has, and the one most likely to end it."
CONCEPT_REGARD,,"What one power privately thinks of another, which governs everything it will do before it says anything."
CONCEPT_REQUEST,,"Asking, in circumstances where both parties understand what follows a refusal."
CONCEPT_REVOLUTION,,"The moment a population stops believing its government is inevitable. Everything after that is bookkeeping."
CONCEPT_RIOTS,,"Disorder that has stopped being individual. A city in riot is not producing, defending, or listening."
CONCEPT_RIVER,,"Water, transport, defence and a boundary, all in one line on the map. Nearly every old city sits on one."
CONCEPT_RUINS,,"The physical evidence that this has all been attempted before, left standing as a matter of indifference rather than respect."
CONCEPT_RUSH_BUY,,"Paying in gold for the time you do not have. Always more expensive than planning, and occasionally worth it."
CONCEPT_SCIENCE,,"Organised doubt. Its power comes from being willing to discard its own conclusions, which no other institution manages."
CONCEPT_SCIENCE_SETTING,,"The perennial decision between what a realm knows next year and what it can afford this year."
CONCEPT_SEA_COLONIES,,"Settlement of water, undertaken when the land is full or the sea holds something the land does not."
CONCEPT_SLAVE,,"Labour taken rather than bought. It builds quickly, costs continuously, and has never yet failed to be repaid."
CONCEPT_SPECIALISTS,,"Citizens taken off the fields to do one thing extremely well. The surplus that permits this is the definition of wealth."
CONCEPT_SPECIAL_FORCES,,"Small numbers, chosen carefully, sent where an army cannot go and a diplomat will not."
CONCEPT_STARVATION,,"The failure state of every other system, and the one that arrives fastest."
CONCEPT_STEALTH_UNITS,,"Forces whose advantage is not being seen. Their entire value collapses the moment they are, which makes them expensive to use well."
CONCEPT_SUPPORT_COST,,"Standing armies eat in peacetime too. The bill for readiness is paid every turn, in the currency of everything not built instead."
CONCEPT_TERRAFORM,,"Rebuilding the land itself rather than adapting to it. The last stage of the argument between a people and their geography."
CONCEPT_THREAT,,"A promise made in the hope of never having to keep it. Its whole value lies in being believed, which is why a threat that is tested once is rarely worth making twice."
CONCEPT_TILE_IMPROVEMENTS,,"Work done to the ground outside the walls, which is where a city's food, metal and roads actually come from."
CONCEPT_TONE,,"How a thing is said, which between powers is frequently more consequential than what is said."
CONCEPT_TRADE,,"The discovery that both sides can end an exchange better off. Every peace that has ever lasted has been built on it."
CONCEPT_TRADE_ROUTE,,"A path along which goods move reliably enough to plan around. Protecting one is the commonest reason for a war nobody wanted."
CONCEPT_TREATIES,,"Written agreements between powers that recognise no higher authority, and are therefore held together by nothing but interest."
CONCEPT_UNITS,,"An organised body of people acting as one. The basic instrument by which a realm applies force to the map."
CONCEPT_VETERANS,,"Soldiers who have survived. What they know cannot be trained into recruits, only inherited from them."
CONCEPT_VICTORY_CONQUEST,,"Winning by leaving no one else standing. The oldest definition, and the only one that requires no agreement."
CONCEPT_VICTORY_DIPLOMATIC,,"Winning by being the power everyone else prefers. Slower than conquest and considerably harder to reverse."
CONCEPT_VICTORY_PTS_AT_2300,,"Judgement by accumulated account at a fixed date, which rewards steadiness over any single decisive stroke."
CONCEPT_VICTORY_SCIENCE,,"Winning by understanding the world first, on the assumption that understanding is a lead nobody else can close."
CONCEPT_VISION,,"What a realm can actually see. Every decision is made about the map as known, not the map as it is."
CONCEPT_WAGES,,"What a state pays its own people to remain its own people. Set it too low and the labour leaves; set it too high and there is nothing left to govern with."
CONCEPT_WONDERS,,"Works so large that only one of each can exist. They are built for the advantage and remembered for the ambition."
CONCEPT_WORKER,,"The person doing the work. Every abstraction on this page resolves, eventually, to them."
CONCEPT_WORK_HOURS,,"How hard a population is asked to labour. Push it up and output rises, then consent falls, in that order."
ORDER_ASSASSINATE,,"Removing one person instead of an army. Cheap, deniable, and historically far less decisive than the people who order it expect."
ORDER_ATTACK,,"The oldest instruction in warfare, and the one every other order exists to make unnecessary or survivable."
ORDER_BOARD_TRANSPORT,,"Putting an army aboard ship. The most vulnerable hour in any campaign is the one spent doing this."
ORDER_BOMBARD,,"Striking at range and accepting no reply. It wins ground slowly and costs almost nothing but ammunition and patience."
ORDER_CONVERT,,"Changing what a population believes, on the correct assumption that belief decides who they will fight for."
ORDER_DISBAND_ARMY,,"Sending soldiers home. Easy to order and, for many governments, extremely difficult to survive."
ORDER_ESTABLISH_EMBASSY,,"A permanent presence in someone else's capital, which is simultaneously a courtesy and a listening post."
ORDER_EXPEL,,"Removing a foreign force without killing it, so that a border dispute does not become a war."
ORDER_FAITH_HEALING,,"Treatment by conviction. It works often enough to be defended and rarely enough to be argued about forever."
ORDER_FORTIFY,,"Digging in. The single cheapest multiplier a defender has ever had access to."
ORDER_INCITE_REVOLUTION,,"Persuading a rival's own people to do what an army would otherwise have to. Slow, cheap, and impossible to control once begun."
ORDER_INCITE_UPRISING,,"Turning a subject population against its occupier, which is easier to start than any commander has ever found it to stop."
ORDER_INDULGENCE,,"Buying contentment outright. It works immediately, and teaches the population exactly what discontent is worth."
ORDER_INTERCEPT_TRADE,,"Taking a rival's commerce rather than their territory. Less glorious, and generally more damaging."
ORDER_INVESTIGATE_CITY,,"Finding out what is actually inside the walls before deciding whether to knock on them."
ORDER_PARADROP,,"Placing troops behind a line instead of through it. Everything depends on what arrives with them, which is usually not enough."
ORDER_PILLAGE,,"Destroying what cannot be taken. It denies a rival their improvements and guarantees the ground is worthless to whoever holds it next."
ORDER_PLAGUE,,"Deliberate contagion, the one weapon in history that has reliably come home to the side that used it."
ORDER_RANGED_ATTACK,,"Hitting the enemy from outside the reach of their answer, which has been the central ambition of weapon design ever since the sling."
ORDER_REFORM,,"Changing a system from inside it, at the pace the system permits, which is the whole difficulty."
ORDER_SETTLE,,"Founding a city. The single most consequential act any group of people can perform on a map."
ORDER_SLAVE_RAID,,"Taking people as property. It supplies labour immediately and creates an enemy permanently."
ORDER_SLEEP,,"Standing down until needed. Armies spend the overwhelming majority of their existence in this state."
ORDER_SOOTHSAY,,"Announcing the future with enough authority that people begin arranging their affairs around it."
ORDER_STEAL_TECHNOLOGY,,"Acquiring in one night what a rival spent a generation learning. The cheapest research any realm has ever conducted."
ORDER_THROW_PARTY,,"Public generosity as policy. Rulers who understood this outlasted rulers who considered it beneath them."
ORDER_UNDERGROUND_RAILWAY,,"A route maintained by people with no authority, for people with no options, against a law everyone involved considers illegitimate."
ORDER_UNLOAD,,"Putting an army ashore. The moment a naval campaign becomes a land one."
ORDER_UPGRADE,,"Re-equipping veterans rather than replacing them, which keeps the one thing that cannot be manufactured: experience."
TERRAIN_BROWN_HILL,,"Dry, broken upland where the soil has already left. Peoples settle it for what it overlooks rather than for what it grows."
TERRAIN_BROWN_MOUNTAIN,,"Bare rock in a dead range, holding neither snow nor forest. Its only exports have ever been ore and distance."
