ident,name,race,melee_attack,ranged_attack,defense,resistance,hit_points,movement,build_cost,upkeep,requires_building,description
UNIT_BEASTMEN_SPEARMEN,Beastmen Spearmen,Beastmen,0,0,0,5,0,0,20,0,,Beastmen Spearmen Race Beastmen Req. Town Buildings None Construction Cost 20 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 2 Defense per figure 2 Resistance 5 Hit Point
UNIT_BEASTMEN_SWORDSMEN,Beastmen Swordsmen,Beastmen,0,0,0,5,0,0,40,0,,"Beastmen Swordsmen Race Beastmen Req. Town Buildings Barracks , Smithy Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Defense per figure 2 Resist"
UNIT_BOWMEN,Bowmen,Barbarian,0,0,0,4,0,0,30,0,,"Bowmen Req. Town Buildings Barracks , Sawmill Variants Barbarian Bowmen Gnoll Bowmen Halfling Bowmen High Men Bowmen Nomad Bowmen Orc Bowmen Beastmen Bowmen Draconian Bowmen Baseline Properties Constr"
UNIT_BRAX_THE_DWARF,Brax the Dwarf,Dwarf,5,0,4,10,10,0,0,0,,Brax The Dwarf Type Non- Champion Hiring Cost 100 Upkeep Cost 2 Prereq.
UNIT_CATAPULT,Catapult,Beastmen,0,0,0,4,0,0,100,0,,Catapult Race High Elves High Men Nomads Orcs Beastmen Dark Elves Req.
UNIT_CAVALRY,Cavalry,Barbarian,0,0,0,4,0,0,40,0,,"Cavalry Req. Town Buildings Barracks , Stables Variants Barbarian Cavalry High Elf Cavalry High Men Cavalry Orc Cavalry Dark Elf Cavalry Baseline Properties Construction Cost 40 Upkeep Cost 1 1 # of f"
UNIT_DARK_ELF_CAVALRY,Dark Elf Cavalry,Dark Elf,0,0,0,7,0,0,100,0,,"Dark Elf Cavalry Race Dark Elves Req. Town Buildings Barracks , Stables Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Ranged Attack per figure "
UNIT_DARK_ELF_HALBERDIERS,Dark Elf Halberdiers,Dark Elf,0,0,0,7,0,0,100,0,,Dark Elf Halberdiers Race Dark Elves Req. Town Buildings Armory Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Ranged Attack per figure 1 ( ) De
UNIT_DARK_ELF_PRIESTS,Dark Elf Priests,Dark Elf,0,0,0,10,0,0,200,0,,Dark Elf Priests Race Dark Elves Req. Town Buildings Parthenon Construction Cost 200 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 3 Ranged Attack per figure 6 ( ) Def
UNIT_DARK_ELF_SPEARMEN,Dark Elf Spearmen,Dark Elf,0,0,0,7,0,0,25,0,,Dark Elf Spearmen Race Dark Elves Req. Town Buildings None Construction Cost 25 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1 ( ) Defense pe
UNIT_DARK_ELF_SWORDSMEN,Dark Elf Swordsmen,Dark Elf,0,0,0,7,0,0,50,0,,"Dark Elf Swordsmen Race Dark Elves Req. Town Buildings Barracks , Smithy Construction Cost 50 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Ranged Attack per figure "
UNIT_DRACONIAN_BOWMEN,Draconian Bowmen,Draconian,0,0,0,6,0,0,45,0,,"Draconian Bowmen Race Draconians Req. Town Buildings Barracks , Sawmill Construction Cost 45 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 2 Melee Attack per figure 1 Ranged Attack per figure 1"
UNIT_DRACONIAN_ENGINEERS,Draconian Engineers,Draconian,0,0,0,6,0,0,100,0,,Draconian Engineers Race Draconians Req. Town Buildings Builders' Hall Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 2 Melee Attack per figure 1 Defense per figure 2 Resis
UNIT_DRACONIAN_HALBERDIERS,Draconian Halberdiers,Draconian,0,0,0,6,0,0,100,0,,Draconian Halberdiers Race Draconians Req. Town Buildings Armory Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 2 Melee Attack per figure 4 Defense per figure 4 Resistance 
UNIT_DRACONIAN_MAGICIANS,Draconian Magicians,Draconian,0,0,0,10,0,0,180,0,,Draconian Magicians Race Draconians Req. Town Buildings Wizards' Guild Construction Cost 180 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 1 Ranged Attack per figure 5
UNIT_DRACONIAN_SHAMANS,Draconian Shamans,Draconian,0,0,0,8,0,0,75,0,,Draconian Shamans Race Draconians Req. Town Buildings Shrine Construction Cost 75 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 2 Ranged Attack per figure 2 ( ) Defens
UNIT_DRACONIAN_SPEARMEN,Draconian Spearmen,Draconian,0,0,0,6,0,0,25,0,,Draconian Spearmen Race Draconians Req. Town Buildings None Construction Cost 25 Upkeep Cost 1 Unit Properties # of figures 8 Moves 2 Melee Attack per figure 1 Defense per figure 3 Resistance 6 Hit Po
UNIT_DRACONIAN_SWORDSMEN,Draconian Swordsmen,Draconian,0,0,0,6,0,0,50,0,,"Draconian Swordsmen Race Draconians Req. Town Buildings Barracks , Smithy Construction Cost 50 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 2 Melee Attack per figure 3 Defense per figure 3 Res"
UNIT_DWARF_ENGINEERS,Dwarf Engineers,Dwarf,0,0,0,8,0,0,40,0,,Dwarf Engineers Race Dwarves Req. Town Buildings Builders' Hall Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Defense per figure 1 Resistance 8 
UNIT_DWARF_HALBERDIERS,Dwarf Halberdiers,Dwarf,0,0,0,8,0,0,100,0,,Dwarf Halberdiers Race Dwarves Req. Town Buildings Armory Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Defense per figure 3 Resistance 8 Hit P
UNIT_DWARF_SWORDSMEN,Dwarf Swordsmen,Dwarf,0,0,0,8,0,0,50,0,,"Dwarf Swordsmen Race Dwarves Req. Town Buildings Barracks , Smithy Construction Cost 50 Upkeep Cost 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resistance 8"
UNIT_ENGINEERS,Engineers,Beastmen,0,0,0,4,0,0,40,0,,Engineers Req. Town Buildings Builders' Hall Variants High Men Engineers Klackon Engineers Orc Engineers Beastmen Engineers Draconian Engineers * Dwarf Engineers Baseline Properties Construction Cost 
UNIT_FANG_THE_DRACONIAN,Fang the Draconian,Draconian,7,0,5,6,8,0,0,0,,Fang The Draconian Type Non- Champion Hiring Cost 200 Upkeep Cost 4 Prereq.
UNIT_GALLEY,Galley,Barbarian,0,0,0,6,0,0,100,0,,Galley Race Barbarians Gnolls High Elves High Men Nomads Orcs Dark Elves Draconians Req.
UNIT_GNOLL_BOWMEN,Gnoll Bowmen,Gnoll,0,0,0,4,0,0,30,0,,"Gnoll Bowmen Race Gnolls Req. Town Buildings Barracks , Sawmill Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Ranged Attack per figure 1 Defense"
UNIT_GNOLL_HALBERDIERS,Gnoll Halberdiers,Gnoll,0,0,0,4,0,0,40,0,,Gnoll Halberdiers Race Gnolls Req. Town Buildings Armory Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 6 Defense per figure 3 Resistance 4 Hit Poi
UNIT_GNOLL_SETTLERS,Gnoll Settlers,Gnoll,0,0,0,4,0,0,60,0,,Gnoll Settlers Race Gnolls Req. Town Buildings None Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 1 Moves 1 Melee Attack per figure 2 Defense per figure 1 Resistance 4 Hit Points p
UNIT_GNOLL_SPEARMEN,Gnoll Spearmen,Gnoll,0,0,0,4,0,0,10,0,,Gnoll Spearmen Race Gnolls Req. Town Buildings None Construction Cost 10 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resistance 4 Hit Points per
UNIT_GNOLL_SWORDSMEN,Gnoll Swordsmen,Gnoll,0,0,0,4,0,0,20,0,,"Gnoll Swordsmen Race Gnolls Req. Town Buildings Barracks , Smithy Construction Cost 20 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 5 Defense per figure 2 Resistance "
UNIT_GUNTHER_THE_BARBARIAN,Gunther the Barbarian,Barbarian,5,0,3,6,9,0,0,0,,Gunther The Barbarian Type Non- Champion Hiring Cost 100 Upkeep Cost 2 Prereq.
UNIT_HALBERDIERS,Halberdiers,Beastmen,0,0,0,4,0,0,40,0,,Halberdiers Req. Town Buildings Armory Variants Gnoll Halberdiers High Elf Halberdiers Klackon Halberdiers Lizardmen Halberdiers Orc Halberdiers Beastmen Halberdiers Dark Elf Halberdiers Draconian Hal
UNIT_HALFLING_BOWMEN,Halfling Bowmen,Halfling,0,0,0,6,0,0,45,0,,"Halfling Bowmen Race Halflings Req. Town Buildings Barracks , Sawmill Construction Cost 45 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1 D"
UNIT_HALFLING_SHAMANS,Halfling Shamans,Halfling,0,0,0,8,0,0,75,0,,Halfling Shamans Race Halflings Req. Town Buildings Shrine Construction Cost 75 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 2 ( ) Defense 
UNIT_HALFLING_SPEARMEN,Halfling Spearmen,Halfling,0,0,0,6,0,0,15,0,,Halfling Spearmen Race Halflings Req. Town Buildings None Construction Cost 15 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 6 Hit Poin
UNIT_HALFLING_SWORDSMEN,Halfling Swordsmen,Halfling,0,0,0,6,0,0,30,0,,"Halfling Swordsmen Race Halflings Req. Town Buildings Barracks , Smithy Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 2 Defense per figure 2 Resis"
UNIT_HIGH_ELF_CAVALRY,High Elf Cavalry,High Elf,0,0,0,6,0,0,60,0,,"High Elf Cavalry Race High Elves Req. Town Buildings Barracks , Stables Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Defense per figure 2 Resis"
UNIT_HIGH_ELF_HALBERDIERS,High Elf Halberdiers,High Elf,0,0,0,6,0,0,60,0,,High Elf Halberdiers Race High Elves Req. Town Buildings Armory Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Defense per figure 3 Resistance 6 
UNIT_HIGH_ELF_MAGICIANS,High Elf Magicians,High Elf,0,0,0,10,0,0,180,0,,High Elf Magicians Race High Elves Req. Town Buildings Wizards' Guild Construction Cost 180 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 1 Ranged Attack per figure 5 
UNIT_HIGH_ELF_SPEARMEN,High Elf Spearmen,High Elf,0,0,0,6,0,0,15,0,,High Elf Spearmen Race High Elves Req. Town Buildings None Construction Cost 15 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 6 Hit Poi
UNIT_HIGH_ELF_SWORDSMEN,High Elf Swordsmen,High Elf,0,0,0,6,0,0,30,0,,"High Elf Swordsmen Race High Elves Req. Town Buildings Barracks , Smithy Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resi"
UNIT_HIGH_MEN_BOWMEN,High Men Bowmen,High Men,0,0,0,4,0,0,30,0,,"High Men Bowmen Race High Men Req. Town Buildings Barracks , Sawmill Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1 De"
UNIT_HIGH_MEN_CAVALRY,High Men Cavalry,High Men,0,0,0,4,0,0,40,0,,"High Men Cavalry Race High Men Req. Town Buildings Barracks , Stables Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Defense per figure 2 Resista"
UNIT_HIGH_MEN_ENGINEERS,High Men Engineers,High Men,0,0,0,4,0,0,40,0,,High Men Engineers Race High Men Req. Town Buildings Builders' Hall Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Defense per figure 1 Resistanc
UNIT_HIGH_MEN_MAGICIANS,High Men Magicians,High Men,0,0,0,8,0,0,120,0,,High Men Magicians Race High Men Req. Town Buildings Wizards' Guild Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 5 ( 
UNIT_HIGH_MEN_PIKEMEN,High Men Pikemen,High Men,0,0,0,5,0,0,80,0,,High Men Pikemen Race High Men Req. Town Buildings Fighters' Guild Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 5 * Defense per figure 3 Resistan
UNIT_HIGH_MEN_PRIESTS,High Men Priests,High Men,0,0,0,7,0,0,100,0,,High Men Priests Race High Men Req. Town Buildings Parthenon Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 3 Ranged Attack per figure 4 ( ) Defen
UNIT_HIGH_MEN_SPEARMEN,High Men Spearmen,High Men,0,0,0,4,0,0,10,0,,High Men Spearmen Race High Men Req. Town Buildings None Construction Cost 10 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 4 Hit Point
UNIT_HIGH_MEN_SWORDSMEN,High Men Swordsmen,High Men,0,0,0,4,0,0,20,0,,"High Men Swordsmen Race High Men Req. Town Buildings Barracks , Smithy Construction Cost 20 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resist"
UNIT_HORSEBOWMEN,Horsebowmen,Nomad,0,0,0,4,0,0,60,0,,"Horsebowmen Race Nomads Req. Town Buildings Barracks , Stables Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Ranged Attack per figure 2 Defense "
UNIT_KLACKON_ENGINEERS,Klackon Engineers,Klackon,0,0,0,5,0,0,80,0,,Klackon Engineers Race Klackons Req. Town Buildings Builders' Hall Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Defense per figure 1 Resistance
UNIT_KLACKON_HALBERDIERS,Klackon Halberdiers,Klackon,0,0,0,5,0,0,80,0,,Klackon Halberdiers Race Klackons Req. Town Buildings Armory Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Defense per figure 5 Resistance 5 Hit
UNIT_KLACKON_SPEARMEN,Klackon Spearmen,Klackon,0,0,0,5,0,0,20,0,,Klackon Spearmen Race Klackons Req. Town Buildings None Construction Cost 20 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 4 Resistance 5 Hit Points
UNIT_KLACKON_SWORDSMEN,Klackon Swordsmen,Klackon,0,0,0,5,0,0,40,0,,"Klackon Swordsmen Race Klackons Req. Town Buildings Barracks , Smithy Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 4 Resista"
UNIT_LIZARDMEN_HALBERDIERS,Lizardmen Halberdiers,Lizardmen,0,0,0,4,0,0,40,0,,Lizardmen Halberdiers Race Lizardmen Req. Town Buildings Armory Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 / 1 Melee Attack per figure 4 Defense per figure 4 Resistanc
UNIT_LIZARDMEN_SHAMANS,Lizardmen Shamans,Lizardmen,0,0,0,6,0,0,60,0,,Lizardmen Shamans Race Lizardmen Req. Town Buildings Shrine Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 1 / 1 Melee Attack per figure 2 Ranged Attack per figure 2 ( ) Def
UNIT_LIZARDMEN_SPEARMEN,Lizardmen Spearmen,Lizardmen,0,0,0,4,0,0,10,0,,Lizardmen Spearmen Race Lizardmen Req. Town Buildings None Construction Cost 10 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 / 1 Melee Attack per figure 1 Defense per figure 3 Resistance 4 Hit
UNIT_LIZARDMEN_SWORDSMEN,Lizardmen Swordsmen,Lizardmen,0,0,0,4,0,0,20,0,,"Lizardmen Swordsmen Race Lizardmen Req. Town Buildings Barracks , Smithy Construction Cost 20 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 / 1 Melee Attack per figure 3 Defense per figure 3 "
UNIT_LONGBOWMEN,Longbowmen,High Elves,0,0,0,6,0,0,80,0,,"Longbowmen Race High Elves Req. Town Buildings Barracks , Sawmill Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 3 Defen"
UNIT_MAGICIANS,Magicians,Beastmen,0,0,0,8,0,0,120,0,,Magicians Req. Town Buildings Wizards' Guild Variants High Elf Magicians High Men Magicians Orc Magicians Beastmen Magicians Draconian Magicians Baseline Properties Construction Cost 120 Upkeep Cost 3
UNIT_NOMAD_BOWMEN,Nomad Bowmen,Nomad,0,0,0,4,0,0,30,0,,"Nomad Bowmen Race Nomads Req. Town Buildings Barracks , Sawmill Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1 Defense"
UNIT_NOMAD_MAGICIANS,Nomad Magicians,Nomad,0,0,0,8,0,0,0,0,,Nomad Magicians File:Tactical NomadMagicians.png Race Nomad Req.
UNIT_NOMAD_PIKEMEN,Nomad Pikemen,Nomad,0,0,0,5,0,0,80,0,,Nomad Pikemen Race Nomads Req. Town Buildings Fighters' Guild Construction Cost 80 Upkeep Cost 2 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 5 * Defense per figure 3 Resistance 5 
UNIT_NOMAD_PRIESTS,Nomad Priests,High Men,0,0,0,7,0,0,100,0,,Nomad Priests Race High Men Req. Town Buildings Parthenon Construction Cost 100 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 3 Ranged Attack per figure 4 ( ) Defense 
UNIT_NOMAD_SPEARMEN,Nomad Spearmen,Nomad,0,0,0,4,0,0,10,0,,Nomad Spearmen Race Nomads Req. Town Buildings None Construction Cost 10 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 4 Hit Points per
UNIT_NOMAD_SWORDSMEN,Nomad Swordsmen,Nomad,0,0,0,4,0,0,20,0,,"Nomad Swordsmen Race Nomads Req. Town Buildings Barracks , Smithy Construction Cost 20 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resistance "
UNIT_ORC_BOWMEN,Orc Bowmen,Orc,0,0,0,4,0,0,30,0,,"Orc Bowmen Race Orcs Req. Town Buildings Barracks , Sawmill Construction Cost 30 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 1 Defense per"
UNIT_ORC_CAVALRY,Orc Cavalry,Orc,0,0,0,4,0,0,40,0,,"Orc Cavalry Race Orcs Req. Town Buildings Barracks , Stables Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 4 Moves 2 Melee Attack per figure 4 Defense per figure 2 Resistance 4 Hit"
UNIT_ORC_ENGINEERS,Orc Engineers,Orc,0,0,0,4,0,0,40,0,,Orc Engineers Race Orcs Req. Town Buildings Builders' Hall Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 1 Defense per figure 1 Resistance 4 Hit P
UNIT_ORC_HALBERDIERS,Orc Halberdiers,Orc,0,0,0,4,0,0,40,0,,Orc Halberdiers Race Orcs Req. Town Buildings Armory Construction Cost 40 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 4 Defense per figure 3 Resistance 4 Hit Points 
UNIT_ORC_MAGICIANS,Orc Magicians,Orc,0,0,0,8,0,0,120,0,,Orc Magicians Race Orcs Req. Town Buildings Wizards' Guild Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 1 Ranged Attack per figure 5 ( ) Defense
UNIT_ORC_SHAMANS,Orc Shamans,Orc,0,0,0,6,0,0,60,0,,Orc Shamans Race Orcs Req. Town Buildings Shrine Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 2 Ranged Attack per figure 2 ( ) Defense per figure
UNIT_ORC_SPEARMEN,Orc Spearmen,Orc,0,0,0,4,0,0,10,0,,Orc Spearmen Race Orcs Req. Town Buildings None Construction Cost 10 Upkeep Cost 1 Unit Properties # of figures 8 Moves 1 Melee Attack per figure 1 Defense per figure 2 Resistance 4 Hit Points per fig
UNIT_ORC_SWORDSMEN,Orc Swordsmen,Orc,0,0,0,4,0,0,20,0,,"Orc Swordsmen Race Orcs Req. Town Buildings Barracks , Smithy Construction Cost 20 Upkeep Cost 1 1 Unit Properties # of figures 6 Moves 1 Melee Attack per figure 3 Defense per figure 2 Resistance 4 Hi"
UNIT_PIKEMEN,Pikemen,High Men,0,0,0,5,0,0,80,0,,Pikemen Req. Town Buildings Fighters' Guild Variants High Men Pikemen Nomad Pikemen Baseline Properties Construction Cost 80 Upkeep Cost 2 1 # of figures 8 Moves 1 Melee Attack per figure 5 * Defense 
UNIT_PRIESTS,Priests,Beastmen,0,0,0,7,0,0,100,0,,Priests Req. Town Buildings Parthenon Variants High Men Priests Nomad Priests Beastmen Priests Dark Elf Priests Baseline Properties Construction Cost 100 Upkeep Cost 2 1 # of figures 4 Moves 1 Melee A
UNIT_SHAMANS,Shamans,Barbarian,0,0,0,6,0,0,50,0,,Shamans Req. Town Buildings Shrine Variants Barbarian Shamans Halfling Shamans Lizardmen Shamans Orc Shamans Draconian Shamans Troll Shamans Baseline Properties Construction Cost 50 Upkeep Cost 1 1 # 
UNIT_SPEARMEN,Spearmen,Barbarian,0,0,0,4,0,0,10,0,,Spearmen Req. Town Buildings None Variants Barbarian Spearmen Gnoll Spearmen Halfling Spearmen High Elf Spearmen High Men Spearmen Klackon Spearmen Lizardmen Spearmen Nomad Spearmen Orc Spearmen Beast
UNIT_SWORDSMEN,Swordsmen,Barbarian,0,0,0,4,0,0,20,0,,"Swordsmen Req. Town Buildings Barracks , Smithy Variants Barbarian Swordsmen Gnoll Swordsmen Halfling Swordsmen High Elf Swordsmen High Men Swordsmen Klackon Swordsmen Lizardmen Swordsmen Nomad Swords"
UNIT_TRIREME,Trireme,Lizardmen,0,0,0,4,0,0,60,0,,Trireme Race All except Lizardmen Req. Town Buildings Shipwrights' Guild Construction Cost 60 Upkeep Cost 2 1 Unit Properties # of figures 1 Moves 2 Melee Attack per figure 6 Defense per figure 4 Resi
UNIT_TROLL_HALBERDIERS,Troll Halberdiers,Troll,0,0,0,7,0,0,120,0,,Troll Halberdiers Race Trolls Req. Town Buildings Armory Construction Cost 120 Upkeep Cost 3 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 6 Defense per figure 3 Resistance 7 Hit Po
UNIT_TROLL_SHAMANS,Troll Shamans,Troll,0,0,0,8,0,0,180,0,,Troll Shamans Race Trolls Req. Town Buildings Shrine Construction Cost 180 Upkeep Cost 4 1 Unit Properties # of figures 4 Moves 1 Melee Attack per figure 4 Ranged Attack per figure 2 ( ) Defense per f
